campaign,topology,placement,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1_focused,uni,downstream,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09211726564520144,0.0017581247064750371,0.08873093679708549,0.09242663268836837,0.09443776118135941
C1_focused,uni,downstream,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09411726564520145,0.0017581247064750371,0.09073093679708549,0.09442663268836837,0.09643776118135941
C1_focused,uni,downstream,2560.0,0.529356,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09607326564520152,0.0017581247064750371,0.09268693679708556,0.09638263268836844,0.09839376118135948
C1_focused,uni,downstream,2560.0,0.5314,2,1.5,0.5,1000,0.882,0.8605274931519409,0.9005487563280568,0.09811726564520146,0.0017581247064750371,0.0947309367970855,0.09842663268836838,0.10043776118135941
C1_focused,uni,downstream,2560.0,0.5334,2,1.5,0.5,1000,0.394,0.3641750348651464,0.42463626763516854,0.10011726564520146,0.0017581247064750371,0.0967309367970855,0.10042663268836838,0.10243776118135942
C1_focused,uni,downstream,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08859815795155442,0.0020126217050587514,0.08494000653302629,0.08872344082848826,0.09165617734511908
C1_focused,uni,downstream,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09059815795155442,0.0020126217050587514,0.08694000653302629,0.09072344082848827,0.09365617734511908
C1_focused,uni,downstream,2560.0,0.529356,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09255415795155449,0.0020126217050587514,0.08889600653302636,0.09267944082848834,0.09561217734511915
C1_focused,uni,downstream,2560.0,0.5314,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0945981579515544,0.002012621705058752,0.0909400065330263,0.09472344082848827,0.09765617734511908
C1_focused,uni,downstream,2560.0,0.5334,4,1.5,0.5,1000,0.969,0.956334233864468,0.9780761352614977,0.09659815795155442,0.0020126217050587514,0.0929400065330263,0.09672344082848827,0.09965617734511908
C1_focused,uni,downstream,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08821358488287032,0.0032083899926703464,0.0820276102772998,0.08892332757311021,0.09241952136345986
C1_focused,uni,downstream,2560.0,0.5274,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09021358488287032,0.0032083899926703464,0.0840276102772998,0.09092332757311021,0.09441952136345987
C1_focused,uni,downstream,2560.0,0.529356,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0921695848828704,0.0032083899926703464,0.08598361027729987,0.09287932757311028,0.09637552136345993
C1_focused,uni,downstream,2560.0,0.5314,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09421358488287032,0.0032083899926703464,0.0880276102772998,0.09492332757311021,0.09841952136345987
C1_focused,uni,downstream,2560.0,0.5334,2,2.5,0.5,1000,0.916,0.8971745741872942,0.931641446188829,0.09621358488287032,0.0032083899926703464,0.0900276102772998,0.09692332757311022,0.10041952136345987
C1_focused,uni,downstream,2560.0,0.5254,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08117318074925635,0.0034563311471663893,0.07495672395601244,0.08137009304431217,0.08646633953809767
C1_focused,uni,downstream,2560.0,0.5274,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08317318074925635,0.0034563311471663893,0.07695672395601244,0.08337009304431217,0.08846633953809767
C1_focused,uni,downstream,2560.0,0.529356,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08512918074925642,0.0034563311471663893,0.07891272395601251,0.08532609304431224,0.09042233953809774
C1_focused,uni,downstream,2560.0,0.5314,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08717318074925635,0.0034563311471663893,0.08095672395601244,0.08737009304431217,0.09246633953809767
C1_focused,uni,downstream,2560.0,0.5334,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08917318074925634,0.0034563311471663893,0.08295672395601245,0.08937009304431218,0.09446633953809767
C1_focused,bi,downstream,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0827827586127351,0.0017581247064750373,0.07939642976461908,0.08309212565590202,0.08510325414889305
C1_focused,bi,downstream,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08478275861273511,0.0017581247064750371,0.08139642976461908,0.08509212565590202,0.08710325414889306
C1_focused,bi,downstream,2560.0,0.529356,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08673875861273515,0.0017581247064750371,0.08335242976461915,0.08704812565590209,0.08905925414889312
C1_focused,bi,downstream,2560.0,0.5314,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0887827586127351,0.0017581247064750373,0.08539642976461909,0.08909212565590202,0.09110325414889306
C1_focused,bi,downstream,2560.0,0.5334,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0907827586127351,0.0017581247064750373,0.08739642976461909,0.09109212565590202,0.09310325414889306
C1_focused,bi,downstream,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.07926365091908806,0.002012621705058752,0.07560549950055993,0.07938893379602191,0.08232167031265272
C1_focused,bi,downstream,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08126365091908806,0.002012621705058752,0.07760549950055994,0.08138893379602191,0.08432167031265272
C1_focused,bi,downstream,2560.0,0.529356,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08321965091908815,0.002012621705058752,0.07956149950056,0.08334493379602198,0.0862776703126528
C1_focused,bi,downstream,2560.0,0.5314,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08526365091908807,0.002012621705058752,0.08160549950055994,0.08538893379602192,0.08832167031265273
C1_focused,bi,downstream,2560.0,0.5334,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08726365091908807,0.002012621705058752,0.08360549950055994,0.08738893379602192,0.09032167031265273
C1_focused,bi,downstream,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.07887907785040398,0.0032083899926703464,0.07269310324483344,0.07958882054064388,0.08308501433099351
C1_focused,bi,downstream,2560.0,0.5274,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08087907785040398,0.0032083899926703464,0.07469310324483344,0.08158882054064388,0.08508501433099351
C1_focused,bi,downstream,2560.0,0.529356,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08283507785040405,0.0032083899926703464,0.07664910324483351,0.08354482054064395,0.08704101433099358
C1_focused,bi,downstream,2560.0,0.5314,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08487907785040397,0.0032083899926703464,0.07869310324483345,0.08558882054064389,0.08908501433099351
