case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,pipe_size,delta_pressure_kpa,baseline_terminal_mpa,ranking
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.0,,,,,0.09731613971117928,-0.0026838602888207275,FAIL,,,,,,5,,,,,,,,,32A,2.6839,0.10000003472214611,3
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.0,,,,,0.09475257463686838,-0.005247425363131622,FAIL,,,,,,6,,,,,,,,,25A,5.2475,0.10000003472214611,1
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.0,,,,,0.09868816970082668,-0.001311830299173325,FAIL,,,,,,7,,,,,,,,,25A,1.3119,0.10000003472214611,7
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09701469330743503,-0.0029853066925649707,FAIL,,,,,,0,,,,,,,,,50A,2.9853,0.10000003472214611,4
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09771438270150798,-0.0022856172984920264,FAIL,,,,,,1,,,,,,,,,50A,2.2857,0.10000003472214611,6
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09832078017637116,-0.0016792198236288414,FAIL,,,,,,2,,,,,,,,,50A,1.6793,0.10000003472214611,8
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09559278904877641,-0.004407210951223595,FAIL,,,,,,3,,,,,,,,,40A,4.4072,0.10000003472214611,2
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.0971793974911895,-0.002820602508810499,FAIL,,,,,,4,,,,,,,,,40A,2.8206,0.10000003472214611,5
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09633850379607517,-0.0036614962039248355,FAIL,,,,,,5,,,,,,,,,32A,3.6615,0.10000003472214611,3
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09257998713530094,-0.007420012864699066,FAIL,,,,,,6,,,,,,,,,25A,7.42,0.10000003472214611,1
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.09814502282543483,-0.0018549771745651755,FAIL,,,,,,7,,,,,,,,,25A,1.855,0.10000003472214611,7
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09621084873231875,-0.0037891512676812567,FAIL,,,,,,0,,,,,,,,,50A,3.7892,0.10000003472214611,4
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09709893919868459,-0.0029010608013154138,FAIL,,,,,,1,,,,,,,,,50A,2.9011,0.10000003472214611,6
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09786861760286822,-0.002131382397131787,FAIL,,,,,,2,,,,,,,,,50A,2.1314,0.10000003472214611,8
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09429544658217334,-0.005704553417826663,FAIL,,,,,,3,,,,,,,,,40A,5.7046,0.10000003472214611,2
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09634909831256352,-0.003650901687436481,FAIL,,,,,,4,,,,,,,,,40A,3.6509,0.10000003472214611,5
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09518369538781668,-0.004816304612183325,FAIL,,,,,,5,,,,,,,,,32A,4.8163,0.10000003472214611,3
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.0898418970427342,-0.01015810295726581,FAIL,,,,,,6,,,,,,,,,25A,10.1581,0.10000003472214611,1
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.09746050030229314,-0.002539499697706865,FAIL,,,,,,7,,,,,,,,,25A,2.5395,0.10000003472214611,7
