campaign,topology,inlet_pressure_mpa,total_flow_lpm,bead_height_mm,terminal_mpa,pass_fail,pressure_margin_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A,uni,0.532723,2560,2.0,0.080114,FAIL,-0.019886,0.114858,0.317865,0.019886,0.039406,0.0,0.083664
A,bi,0.532723,2560,2.0,0.076549,FAIL,-0.023451,0.088151,0.348137,0.019886,0.002942,0.040029,0.083664
A,uni,0.532723,2560,2.5,0.072885,FAIL,-0.027115,0.114858,0.317865,0.027115,0.039406,0.0,0.083664
A,bi,0.532723,2560,2.5,0.06932,FAIL,-0.03068,0.088151,0.348137,0.027115,0.002942,0.040029,0.083664
A,uni,0.532723,2560,3.0,0.064309,FAIL,-0.035691,0.114858,0.317865,0.035691,0.039406,0.0,0.083664
A,bi,0.532723,2560,3.0,0.060744,FAIL,-0.039256,0.088151,0.348137,0.035691,0.002942,0.040029,0.083664
A,uni,0.532723,2880,0.0,-0.014,FAIL,-0.114,0.144426,0.402298,0.0,0.049668,0.0,0.105887
A,bi,0.532723,2880,0.0,-0.018689,FAIL,-0.118689,0.110801,0.440611,0.0,0.003695,0.050661,0.105887
A,uni,0.532723,2880,0.5,-0.018985,FAIL,-0.118985,0.144426,0.402298,0.004985,0.049668,0.0,0.105887
A,bi,0.532723,2880,0.5,-0.023674,FAIL,-0.123674,0.110801,0.440611,0.004985,0.003695,0.050661,0.105887
A,uni,0.532723,2880,1.0,-0.02473,FAIL,-0.12473,0.144426,0.402298,0.01073,0.049668,0.0,0.105887
A,bi,0.532723,2880,1.0,-0.029418,FAIL,-0.129418,0.110801,0.440611,0.01073,0.003695,0.050661,0.105887
A,uni,0.532723,2880,1.5,-0.031391,FAIL,-0.131391,0.144426,0.402298,0.017391,0.049668,0.0,0.105887
A,bi,0.532723,2880,1.5,-0.03608,FAIL,-0.13608,0.110801,0.440611,0.017391,0.003695,0.050661,0.105887
A,uni,0.532723,2880,2.0,-0.039168,FAIL,-0.139168,0.144426,0.402298,0.025168,0.049668,0.0,0.105887
A,bi,0.532723,2880,2.0,-0.043857,FAIL,-0.143857,0.110801,0.440611,0.025168,0.003695,0.050661,0.105887
A,uni,0.532723,2880,2.5,-0.048317,FAIL,-0.148317,0.144426,0.402298,0.034317,0.049668,0.0,0.105887
A,bi,0.532723,2880,2.5,-0.053006,FAIL,-0.153006,0.110801,0.440611,0.034317,0.003695,0.050661,0.105887
A,uni,0.532723,2880,3.0,-0.059172,FAIL,-0.159172,0.144426,0.402298,0.045172,0.049668,0.0,0.105887
A,bi,0.532723,2880,3.0,-0.06386,FAIL,-0.16386,0.110801,0.440611,0.045172,0.003695,0.050661,0.105887
A,uni,0.532723,3200,0.0,-0.141294,FAIL,-0.241294,0.177353,0.496664,0.0,0.061111,0.0,0.130724
A,bi,0.532723,3200,0.0,-0.14726,FAIL,-0.24726,0.13602,0.543964,0.0,0.004533,0.062545,0.130724
A,uni,0.532723,3200,0.5,-0.147448,FAIL,-0.247448,0.177353,0.496664,0.006154,0.061111,0.0,0.130724
A,bi,0.532723,3200,0.5,-0.153415,FAIL,-0.253415,0.13602,0.543964,0.006154,0.004533,0.062545,0.130724
A,uni,0.532723,3200,1.0,-0.154541,FAIL,-0.254541,0.177353,0.496664,0.013247,0.061111,0.0,0.130724
A,bi,0.532723,3200,1.0,-0.160507,FAIL,-0.260507,0.13602,0.543964,0.013247,0.004533,0.062545,0.130724
A,uni,0.532723,3200,1.5,-0.162765,FAIL,-0.262765,0.177353,0.496664,0.021471,0.061111,0.0,0.130724
A,bi,0.532723,3200,1.5,-0.168731,FAIL,-0.268731,0.13602,0.543964,0.021471,0.004533,0.062545,0.130724
A,uni,0.532723,3200,2.0,-0.172366,FAIL,-0.272366,0.177353,0.496664,0.031072,0.061111,0.0,0.130724
A,bi,0.532723,3200,2.0,-0.178332,FAIL,-0.278332,0.13602,0.543964,0.031072,0.004533,0.062545,0.130724
A,uni,0.532723,3200,2.5,-0.183661,FAIL,-0.283661,0.177353,0.496664,0.042367,0.061111,0.0,0.130724
A,bi,0.532723,3200,2.5,-0.189627,FAIL,-0.289627,0.13602,0.543964,0.042367,0.004533,0.062545,0.130724
A,uni,0.532723,3200,3.0,-0.197062,FAIL,-0.297062,0.177353,0.496664,0.055768,0.061111,0.0,0.130724
A,bi,0.532723,3200,3.0,-0.203028,FAIL,-0.303028,0.13602,0.543964,0.055768,0.004533,0.062545,0.130724
