campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,terminal_mpa,pass_fail
C2,uni,2560.0,0.532,0,0.0,0.0,0.09451222851834483,FAIL
C2,uni,2560.0,0.534,0,0.0,0.0,0.09651222851834483,FAIL
C2,uni,2560.0,0.536,0,0.0,0.0,0.09851222851834483,FAIL
C2,uni,2560.0,0.538,0,0.0,0.0,0.10051222851834483,PASS
C2,uni,2560.0,0.54,0,0.0,0.0,0.10251222851834484,PASS
C2,uni,2560.0,0.542,0,0.0,0.0,0.10451222851834484,PASS
C2,uni,2560.0,0.544,0,0.0,0.0,0.10651222851834484,PASS
C2,uni,2560.0,0.546,0,0.0,0.0,0.10851222851834484,PASS
C2,uni,2560.0,0.548,0,0.0,0.0,0.11051222851834486,PASS
C2,uni,2560.0,0.55,0,0.0,0.0,0.11251222851834486,PASS
C2,uni,2560.0,0.552,0,0.0,0.0,0.11451222851834486,PASS
C2,uni,2560.0,0.554,0,0.0,0.0,0.11651222851834486,PASS
C2,uni,2560.0,0.556,0,0.0,0.0,0.11851222851834486,PASS
C2,uni,2560.0,0.558,0,0.0,0.0,0.12051222851834487,PASS
C2,bi,2560.0,0.532,0,0.0,0.0,0.08517772148587847,FAIL
C2,bi,2560.0,0.534,0,0.0,0.0,0.08717772148587848,FAIL
C2,bi,2560.0,0.536,0,0.0,0.0,0.08917772148587848,FAIL
C2,bi,2560.0,0.538,0,0.0,0.0,0.09117772148587848,FAIL
C2,bi,2560.0,0.54,0,0.0,0.0,0.09317772148587848,FAIL
C2,bi,2560.0,0.542,0,0.0,0.0,0.09517772148587848,FAIL
C2,bi,2560.0,0.544,0,0.0,0.0,0.09717772148587848,FAIL
C2,bi,2560.0,0.546,0,0.0,0.0,0.09917772148587849,FAIL
C2,bi,2560.0,0.548,0,0.0,0.0,0.10117772148587849,PASS
C2,bi,2560.0,0.55,0,0.0,0.0,0.10317772148587849,PASS
C2,bi,2560.0,0.552,0,0.0,0.0,0.10517772148587849,PASS
C2,bi,2560.0,0.554,0,0.0,0.0,0.1071777214858785,PASS
C2,bi,2560.0,0.556,0,0.0,0.0,0.1091777214858785,PASS
C2,bi,2560.0,0.558,0,0.0,0.0,0.11117772148587851,PASS
