campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa
B2,uni,2240,0,0.0,0.435937
B2,uni,2240,2,0.0,0.435937
B2,uni,2240,4,0.0,0.435937
B2,uni,2240,0,0.5,0.435937
B2,uni,2240,2,0.5,0.436719
B2,uni,2240,4,0.5,0.437109
B2,uni,2240,0,1.0,0.435937
B2,uni,2240,2,1.0,0.437109
B2,uni,2240,4,1.0,0.438672
B2,uni,2240,0,1.5,0.435937
B2,uni,2240,2,1.5,0.437891
B2,uni,2240,4,1.5,0.440625
B2,uni,2240,0,2.0,0.435937
B2,uni,2240,2,2.0,0.439063
B2,uni,2240,4,2.0,0.442578
B2,uni,2240,0,2.5,0.435937
B2,uni,2240,2,2.5,0.439844
B2,uni,2240,4,2.5,0.444531
B2,uni,2240,0,3.0,0.435937
B2,uni,2240,2,3.0,0.441016
B2,uni,2240,4,3.0,0.446875
B2,uni,2320,0,0.0,0.460156
B2,uni,2320,2,0.0,0.460156
B2,uni,2320,4,0.0,0.460156
B2,uni,2320,0,0.5,0.460156
B2,uni,2320,2,0.5,0.460938
B2,uni,2320,4,0.5,0.461719
B2,uni,2320,0,1.0,0.460156
B2,uni,2320,2,1.0,0.461719
B2,uni,2320,4,1.0,0.463281
B2,uni,2320,0,1.5,0.460156
B2,uni,2320,2,1.5,0.4625
B2,uni,2320,4,1.5,0.465234
B2,uni,2320,0,2.0,0.460156
B2,uni,2320,2,2.0,0.463281
B2,uni,2320,4,2.0,0.467187
B2,uni,2320,0,2.5,0.460156
B2,uni,2320,2,2.5,0.464453
B2,uni,2320,4,2.5,0.469531
B2,uni,2320,0,3.0,0.460156
B2,uni,2320,2,3.0,0.465625
B2,uni,2320,4,3.0,0.471875
B2,uni,2400,0,0.0,0.485156
B2,uni,2400,2,0.0,0.485156
B2,uni,2400,4,0.0,0.485156
B2,uni,2400,0,0.5,0.485156
B2,uni,2400,2,0.5,0.485938
B2,uni,2400,4,0.5,0.486719
B2,uni,2400,0,1.0,0.485156
B2,uni,2400,2,1.0,0.486719
B2,uni,2400,4,1.0,0.488281
B2,uni,2400,0,1.5,0.485156
B2,uni,2400,2,1.5,0.4875
B2,uni,2400,4,1.5,0.490234
B2,uni,2400,0,2.0,0.485156
B2,uni,2400,2,2.0,0.488672
B2,uni,2400,4,2.0,0.492578
B2,uni,2400,0,2.5,0.485156
B2,uni,2400,2,2.5,0.489844
B2,uni,2400,4,2.5,0.494922
B2,uni,2400,0,3.0,0.485156
B2,uni,2400,2,3.0,0.491016
B2,uni,2400,4,3.0,0.498047
B2,uni,2480,0,0.0,0.510937
B2,uni,2480,2,0.0,0.510937
B2,uni,2480,4,0.0,0.510937
B2,uni,2480,0,0.5,0.510937
B2,uni,2480,2,0.5,0.511719
B2,uni,2480,4,0.5,0.5125
B2,uni,2480,0,1.0,0.510937
B2,uni,2480,2,1.0,0.5125
B2,uni,2480,4,1.0,0.514453
B2,uni,2480,0,1.5,0.510937
B2,uni,2480,2,1.5,0.513672
B2,uni,2480,4,1.5,0.516797
B2,uni,2480,0,2.0,0.510937
B2,uni,2480,2,2.0,0.514844
B2,uni,2480,4,2.0,0.519141
B2,uni,2480,0,2.5,0.510937
B2,uni,2480,2,2.5,0.516016
B2,uni,2480,4,2.5,0.521484
B2,uni,2480,0,3.0,0.510937
B2,uni,2480,2,3.0,0.517188
B2,uni,2480,4,3.0,0.524609
B2,uni,2560,0,0.0,0.5375
B2,uni,2560,2,0.0,0.5375
B2,uni,2560,4,0.0,0.5375
B2,uni,2560,0,0.5,0.5375
B2,uni,2560,2,0.5,0.538672
B2,uni,2560,4,0.5,0.539453
B2,uni,2560,0,1.0,0.5375
B2,uni,2560,2,1.0,0.539453
B2,uni,2560,4,1.0,0.541406
B2,uni,2560,0,1.5,0.5375
B2,uni,2560,2,1.5,0.540625
B2,uni,2560,4,1.5,0.54375
B2,uni,2560,0,2.0,0.5375
B2,uni,2560,2,2.0,0.541797
B2,uni,2560,4,2.0,0.546094
B2,uni,2560,0,2.5,0.5375
B2,uni,2560,2,2.5,0.542969
B2,uni,2560,4,2.5,0.549219
B2,uni,2560,0,3.0,0.5375
B2,uni,2560,2,3.0,0.544531
B2,uni,2560,4,3.0,0.552344
B2,uni,2640,0,0.0,0.565234
B2,uni,2640,2,0.0,0.565234
B2,uni,2640,4,0.0,0.565234
B2,uni,2640,0,0.5,0.565234
B2,uni,2640,2,0.5,0.566016
B2,uni,2640,4,0.5,0.567188
B2,uni,2640,0,1.0,0.565234
B2,uni,2640,2,1.0,0.567188
B2,uni,2640,4,1.0,0.569141
B2,uni,2640,0,1.5,0.565234
B2,uni,2640,2,1.5,0.568359
B2,uni,2640,4,1.5,0.571484
B2,uni,2640,0,2.0,0.565234
B2,uni,2640,2,2.0,0.569531
B2,uni,2640,4,2.0,0.574219
B2,uni,2640,0,2.5,0.565234
B2,uni,2640,2,2.5,0.570703
B2,uni,2640,4,2.5,0.577344
B2,uni,2640,0,3.0,0.565234
B2,uni,2640,2,3.0,0.572266
B2,uni,2640,4,3.0,0.580859
B2,uni,2720,0,0.0,0.59375
B2,uni,2720,2,0.0,0.59375
B2,uni,2720,4,0.0,0.59375
B2,uni,2720,0,0.5,0.59375
B2,uni,2720,2,0.5,0.594531
B2,uni,2720,4,0.5,0.595703
B2,uni,2720,0,1.0,0.59375
B2,uni,2720,2,1.0,0.595703
B2,uni,2720,4,1.0,0.598047
B2,uni,2720,0,1.5,0.59375
B2,uni,2720,2,1.5,0.596875
B2,uni,2720,4,1.5,0.600391
B2,uni,2720,0,2.0,0.59375
B2,uni,2720,2,2.0,0.598047
B2,uni,2720,4,2.0,0.603125
B2,uni,2720,0,2.5,0.59375
B2,uni,2720,2,2.5,0.599609
B2,uni,2720,4,2.5,0.60625
B2,uni,2720,0,3.0,0.59375
B2,uni,2720,2,3.0,0.601172
B2,uni,2720,4,3.0,0.610156
B2,uni,2800,0,0.0,0.622656
B2,uni,2800,2,0.0,0.622656
B2,uni,2800,4,0.0,0.622656
B2,uni,2800,0,0.5,0.622656
B2,uni,2800,2,0.5,0.623828
B2,uni,2800,4,0.5,0.625
