campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A2,uni,1920,0.537488,3,0.0,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,0.0,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,0.5,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,0.5,0.2898429037336203,PASS,0.07015,0.177222,0.000273,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,0.5,0.28963407861266816,PASS,0.07015,0.177222,0.000482,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,0.5,0.28948065607482576,PASS,0.07015,0.177222,0.000635,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,0.5,0.28910379086910487,PASS,0.07015,0.177222,0.001012,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,1.0,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,1.0,0.2895423430063433,PASS,0.07015,0.177222,0.000573,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,1.0,0.28910340107856963,PASS,0.07015,0.177222,0.001012,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,1.0,0.2887809131316339,PASS,0.07015,0.177222,0.001335,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,1.0,0.28797685027222036,PASS,0.07015,0.177222,0.002139,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,1.5,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,1.5,0.28921049974311175,PASS,0.07015,0.177222,0.000905,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,1.5,0.2885174903169265,PASS,0.07015,0.177222,0.001598,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,1.5,0.28800834053442304,PASS,0.07015,0.177222,0.002107,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,1.5,0.2867184611325347,PASS,0.07015,0.177222,0.003397,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,2.0,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,2.0,0.2888433842489745,PASS,0.07015,0.177222,0.001272,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,2.0,0.28786930202259037,PASS,0.07015,0.177222,0.002246,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,2.0,0.2871536497746347,PASS,0.07015,0.177222,0.002962,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,2.0,0.285309412317638,PASS,0.07015,0.177222,0.004806,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,2.5,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,2.5,0.28843640036623186,PASS,0.07015,0.177222,0.001679,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,2.5,0.28715072110462286,PASS,0.07015,0.177222,0.002965,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,2.5,0.28620614042262443,PASS,0.07015,0.177222,0.00391,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,2.5,0.28372706473135395,PASS,0.07015,0.177222,0.006389,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,0,3.0,0.2901156549120068,PASS,0.07015,0.177222,0.0,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,1,3.0,0.2879842377927289,PASS,0.07015,0.177222,0.002131,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,2,3.0,0.28635237156078175,PASS,0.07015,0.177222,0.003763,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,3,3.0,0.285153449431188,PASS,0.07015,0.177222,0.004962,0.022429113699116345,0.0,0.04706073808020067
A2,uni,1920,0.537488,4,3.0,0.2819446186024533,PASS,0.07015,0.177222,0.008171,0.022429113699116345,0.0,0.04706073808020067
A2,uni,2240,0.537488,0,0.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,0.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,0.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,0.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,0.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,0.5,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,0.5,0.20140189146990164,PASS,0.094496,0.24122,0.000371,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,0.5,0.20111765727749456,PASS,0.094496,0.24122,0.000655,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,0.5,0.2009088321565424,PASS,0.094496,0.24122,0.000864,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,0.5,0.2003958767376445,PASS,0.094496,0.24122,0.001377,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,1.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,1.0,0.2009927949244412,PASS,0.094496,0.24122,0.00078,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,1.0,0.20039534618941598,PASS,0.094496,0.24122,0.001378,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,1.0,0.19995640426164232,PASS,0.094496,0.24122,0.001817,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,1.0,0.1988619853696628,PASS,0.094496,0.24122,0.002911,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,1.5,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,1.5,0.20054111937170935,PASS,0.094496,0.24122,0.001232,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,1.5,0.19959785654162385,PASS,0.094496,0.24122,0.002175,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,1.5,0.19890484711543857,PASS,0.094496,0.24122,0.002868,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,1.5,0.19714917792953493,PASS,0.094496,0.24122,0.004624,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,2.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,2.0,0.2000414343935781,PASS,0.094496,0.24122,0.001732,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,2.0,0.19871560025211085,PASS,0.094496,0.24122,0.003058,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,2.0,0.19774151802572673,PASS,0.094496,0.24122,0.004032,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,2.0,0.19523130593148127,PASS,0.094496,0.24122,0.006542,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,2.5,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,2.5,0.19948748410873393,PASS,0.094496,0.24122,0.002286,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,2.5,0.19773753178043288,PASS,0.094496,0.24122,0.004036,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,2.5,0.19645185251882388,PASS,0.094496,0.24122,0.005321,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,2.5,0.1930775550501502,PASS,0.094496,0.24122,0.008696,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,0,3.0,0.20177313612937212,PASS,0.094496,0.24122,0.0,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,1,3.0,0.19887204060591054,PASS,0.094496,0.24122,0.002901,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,2,3.0,0.19665088934576028,PASS,0.094496,0.24122,0.005122,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,3,3.0,0.1950190231138131,PASS,0.094496,0.24122,0.006754,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2240,0.537488,4,3.0,0.19065144781914642,PASS,0.094496,0.24122,0.011122,0.03032665903741836,0.0,0.06405489349805092
A2,uni,2560,0.537488,0,0.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,0.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,0.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,0.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,0.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,0.5,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,0.5,0.0995153375345466,FAIL,0.122426,0.315062,0.000485,0.03940645057958407,0.0,0.08366353436480117
