campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,terminal_at_critical_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
B1,uni,2560.0,0,0.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,1,0.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,2,0.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,3,0.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,4,0.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,0,0.5,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,1,0.5,0.538281,0.10030858753454668,0.122426,0.315062,0.000485,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,2,0.5,0.538672,0.1003279678750763,0.122426,0.315062,0.000856,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,3,0.5,0.538672,0.1000552166966898,0.122426,0.315062,0.001129,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,4,0.5,0.539453,0.1001664841087415,0.122426,0.315062,0.001799,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,0,1.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,1,1.0,0.538672,0.1001648823527209,0.122426,0.315062,0.001019,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,2,1.0,0.539453,0.10016579114778994,0.122426,0.315062,0.0018,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,3,1.0,0.540234,0.1003737292421265,0.122426,0.315062,0.002373,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,4,1.0,0.541406,0.10011615915872456,0.122426,0.315062,0.003802,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,0,1.5,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,1,1.5,0.539453,0.10035618877364254,0.122426,0.315062,0.001609,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,2,1.5,0.540625,0.10029604701597987,0.122426,0.315062,0.002841,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,3,1.5,0.541406,0.10017214184708477,0.122426,0.315062,0.003746,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,4,1.5,0.54375,0.10022277291039426,0.122426,0.315062,0.006039,0.03940645057958407,0.0,0.08366353436480117
B1,uni,2560.0,0,2.0,0.5375,0.10001222851834489,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
