campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa
B2,uni,1920,0,0.0,0.366016
B2,uni,1920,2,0.0,0.366016
B2,uni,1920,4,0.0,0.366016
B2,uni,1920,0,0.5,0.366016
B2,uni,1920,2,0.5,0.366406
B2,uni,1920,4,0.5,0.367188
B2,uni,1920,0,1.0,0.366016
B2,uni,1920,2,1.0,0.367188
B2,uni,1920,4,1.0,0.36875
B2,uni,1920,0,1.5,0.366016
B2,uni,1920,2,1.5,0.367578
B2,uni,1920,4,1.5,0.370313
B2,uni,1920,0,2.0,0.366016
B2,uni,1920,2,2.0,0.368359
B2,uni,1920,4,2.0,0.372266
B2,uni,1920,0,2.5,0.366016
B2,uni,1920,2,2.5,0.369141
B2,uni,1920,4,2.5,0.374219
B2,uni,1920,0,3.0,0.366016
B2,uni,1920,2,3.0,0.369922
B2,uni,1920,4,3.0,0.376563
B2,uni,2000,0,0.0,0.388281
B2,uni,2000,2,0.0,0.388281
B2,uni,2000,4,0.0,0.388281
B2,uni,2000,0,0.5,0.388281
B2,uni,2000,2,0.5,0.389062
B2,uni,2000,4,0.5,0.389844
B2,uni,2000,0,1.0,0.388281
B2,uni,2000,2,1.0,0.389453
B2,uni,2000,4,1.0,0.391406
B2,uni,2000,0,1.5,0.388281
B2,uni,2000,2,1.5,0.390234
B2,uni,2000,4,1.5,0.393359
B2,uni,2000,0,2.0,0.388281
B2,uni,2000,2,2.0,0.391016
B2,uni,2000,4,2.0,0.395313
B2,uni,2000,0,2.5,0.388281
B2,uni,2000,2,2.5,0.391797
B2,uni,2000,4,2.5,0.397266
B2,uni,2000,0,3.0,0.388281
B2,uni,2000,2,3.0,0.392578
B2,uni,2000,4,3.0,0.4
B2,uni,2080,0,0.0,0.411719
B2,uni,2080,2,0.0,0.411719
B2,uni,2080,4,0.0,0.411719
B2,uni,2080,0,0.5,0.411719
B2,uni,2080,2,0.5,0.4125
B2,uni,2080,4,0.5,0.413281
B2,uni,2080,0,1.0,0.411719
B2,uni,2080,2,1.0,0.412891
B2,uni,2080,4,1.0,0.414844
B2,uni,2080,0,1.5,0.411719
B2,uni,2080,2,1.5,0.413672
B2,uni,2080,4,1.5,0.416797
B2,uni,2080,0,2.0,0.411719
B2,uni,2080,2,2.0,0.414453
B2,uni,2080,4,2.0,0.419141
B2,uni,2080,0,2.5,0.411719
B2,uni,2080,2,2.5,0.415234
B2,uni,2080,4,2.5,0.421484
B2,uni,2080,0,3.0,0.411719
B2,uni,2080,2,3.0,0.416016
B2,uni,2080,4,3.0,0.424219
B2,uni,2160,0,0.0,0.435937
B2,uni,2160,2,0.0,0.435937
B2,uni,2160,4,0.0,0.435937
B2,uni,2160,0,0.5,0.435937
B2,uni,2160,2,0.5,0.436719
B2,uni,2160,4,0.5,0.4375
B2,uni,2160,0,1.0,0.435937
B2,uni,2160,2,1.0,0.437109
B2,uni,2160,4,1.0,0.439453
B2,uni,2160,0,1.5,0.435937
B2,uni,2160,2,1.5,0.437891
B2,uni,2160,4,1.5,0.441406
B2,uni,2160,0,2.0,0.435937
B2,uni,2160,2,2.0,0.438672
B2,uni,2160,4,2.0,0.44375
B2,uni,2160,0,2.5,0.435937
B2,uni,2160,2,2.5,0.439844
B2,uni,2160,4,2.5,0.446484
B2,uni,2160,0,3.0,0.435937
B2,uni,2160,2,3.0,0.440625
B2,uni,2160,4,3.0,0.449219
B2,uni,2240,0,0.0,0.460938
B2,uni,2240,2,0.0,0.460938
B2,uni,2240,4,0.0,0.460938
B2,uni,2240,0,0.5,0.460938
B2,uni,2240,2,0.5,0.461719
B2,uni,2240,4,0.5,0.462891
B2,uni,2240,0,1.0,0.460938
B2,uni,2240,2,1.0,0.4625
B2,uni,2240,4,1.0,0.464844
B2,uni,2240,0,1.5,0.460938
B2,uni,2240,2,1.5,0.463281
B2,uni,2240,4,1.5,0.466797
B2,uni,2240,0,2.0,0.460938
B2,uni,2240,2,2.0,0.464063
B2,uni,2240,4,2.0,0.469531
B2,uni,2240,0,2.5,0.460938
B2,uni,2240,2,2.5,0.464844
B2,uni,2240,4,2.5,0.472266
B2,uni,2240,0,3.0,0.460938
B2,uni,2240,2,3.0,0.466016
B2,uni,2240,4,3.0,0.475391
B2,uni,2320,0,0.0,0.487109
B2,uni,2320,2,0.0,0.487109
B2,uni,2320,4,0.0,0.487109
B2,uni,2320,0,0.5,0.487109
B2,uni,2320,2,0.5,0.487891
B2,uni,2320,4,0.5,0.489062
B2,uni,2320,0,1.0,0.487109
B2,uni,2320,2,1.0,0.488672
B2,uni,2320,4,1.0,0.491016
B2,uni,2320,0,1.5,0.487109
B2,uni,2320,2,1.5,0.489453
B2,uni,2320,4,1.5,0.493359
B2,uni,2320,0,2.0,0.487109
B2,uni,2320,2,2.0,0.490234
B2,uni,2320,4,2.0,0.496094
B2,uni,2320,0,2.5,0.487109
B2,uni,2320,2,2.5,0.491406
B2,uni,2320,4,2.5,0.499219
B2,uni,2320,0,3.0,0.487109
B2,uni,2320,2,3.0,0.492578
B2,uni,2320,4,3.0,0.502344
B2,uni,2400,0,0.0,0.514062
B2,uni,2400,2,0.0,0.514062
B2,uni,2400,4,0.0,0.514062
B2,uni,2400,0,0.5,0.514062
B2,uni,2400,2,0.5,0.514844
B2,uni,2400,4,0.5,0.516016
B2,uni,2400,0,1.0,0.514062
B2,uni,2400,2,1.0,0.515625
B2,uni,2400,4,1.0,0.518359
B2,uni,2400,0,1.5,0.514062
B2,uni,2400,2,1.5,0.516406
B2,uni,2400,4,1.5,0.520703
B2,uni,2400,0,2.0,0.514062
B2,uni,2400,2,2.0,0.517578
B2,uni,2400,4,2.0,0.523438
B2,uni,2400,0,2.5,0.514062
B2,uni,2400,2,2.5,0.518359
B2,uni,2400,4,2.5,0.526953
B2,uni,2400,0,3.0,0.514062
B2,uni,2400,2,3.0,0.519922
B2,uni,2400,4,3.0,0.530469
B2,uni,2480,0,0.0,0.541797
B2,uni,2480,2,0.0,0.541797
B2,uni,2480,4,0.0,0.541797
B2,uni,2480,0,0.5,0.541797
B2,uni,2480,2,0.5,0.542578
B2,uni,2480,4,0.5,0.54375
B2,uni,2480,0,1.0,0.541797
B2,uni,2480,2,1.0,0.543359
B2,uni,2480,4,1.0,0.546484
B2,uni,2480,0,1.5,0.541797
B2,uni,2480,2,1.5,0.544531
B2,uni,2480,4,1.5,0.548828
B2,uni,2480,0,2.0,0.541797
B2,uni,2480,2,2.0,0.545313
B2,uni,2480,4,2.0,0.551953
B2,uni,2480,0,2.5,0.541797
B2,uni,2480,2,2.5,0.546484
B2,uni,2480,4,2.5,0.555469
B2,uni,2480,0,3.0,0.541797
B2,uni,2480,2,3.0,0.548047
B2,uni,2480,4,3.0,0.559375
B2,uni,2560,0,0.0,0.570313
B2,uni,2560,2,0.0,0.570313
B2,uni,2560,4,0.0,0.570313
B2,uni,2560,0,0.5,0.570313
B2,uni,2560,2,0.5,0.571484
B2,uni,2560,4,0.5,0.572656
B2,uni,2560,0,1.0,0.570313
B2,uni,2560,2,1.0,0.572266
B2,uni,2560,4,1.0,0.575391
B2,uni,2560,0,1.5,0.570313
B2,uni,2560,2,1.5,0.573438
B2,uni,2560,4,1.5,0.578125
B2,uni,2560,0,2.0,0.570313
B2,uni,2560,2,2.0,0.574609
B2,uni,2560,4,2.0,0.58125
B2,uni,2560,0,2.5,0.570313
B2,uni,2560,2,2.5,0.575781
B2,uni,2560,4,2.5,0.585156
B2,uni,2560,0,3.0,0.570313
B2,uni,2560,2,3.0,0.576953
B2,uni,2560,4,3.0,0.589453
B2,bi,1920,0,0.0,0.371094
B2,bi,1920,2,0.0,0.371094
B2,bi,1920,4,0.0,0.371094
B2,bi,1920,0,0.5,0.371094
B2,bi,1920,2,0.5,0.371484
B2,bi,1920,4,0.5,0.372266
B2,bi,1920,0,1.0,0.371094
B2,bi,1920,2,1.0,0.372266
B2,bi,1920,4,1.0,0.373828
B2,bi,1920,0,1.5,0.371094
B2,bi,1920,2,1.5,0.372656
B2,bi,1920,4,1.5,0.375391
B2,bi,1920,0,2.0,0.371094
B2,bi,1920,2,2.0,0.373437
B2,bi,1920,4,2.0,0.377344
B2,bi,1920,0,2.5,0.371094
B2,bi,1920,2,2.5,0.374219
B2,bi,1920,4,2.5,0.379297
B2,bi,1920,0,3.0,0.371094
B2,bi,1920,2,3.0,0.375
B2,bi,1920,4,3.0,0.381641
B2,bi,2000,0,0.0,0.394141
B2,bi,2000,2,0.0,0.394141
B2,bi,2000,4,0.0,0.394141
B2,bi,2000,0,0.5,0.394141
B2,bi,2000,2,0.5,0.394531
B2,bi,2000,4,0.5,0.395313
B2,bi,2000,0,1.0,0.394141
B2,bi,2000,2,1.0,0.394922
B2,bi,2000,4,1.0,0.396875
B2,bi,2000,0,1.5,0.394141
B2,bi,2000,2,1.5,0.395703
B2,bi,2000,4,1.5,0.398828
B2,bi,2000,0,2.0,0.394141
B2,bi,2000,2,2.0,0.396484
B2,bi,2000,4,2.0,0.400781
B2,bi,2000,0,2.5,0.394141
B2,bi,2000,2,2.5,0.397266
B2,bi,2000,4,2.5,0.402734
B2,bi,2000,0,3.0,0.394141
B2,bi,2000,2,3.0,0.398047
B2,bi,2000,4,3.0,0.405469
B2,bi,2080,0,0.0,0.417578
B2,bi,2080,2,0.0,0.417578
B2,bi,2080,4,0.0,0.417578
B2,bi,2080,0,0.5,0.417578
B2,bi,2080,2,0.5,0.418359
B2,bi,2080,4,0.5,0.419141
B2,bi,2080,0,1.0,0.417578
B2,bi,2080,2,1.0,0.41875
B2,bi,2080,4,1.0,0.421094
B2,bi,2080,0,1.5,0.417578
B2,bi,2080,2,1.5,0.419531
B2,bi,2080,4,1.5,0.422656
B2,bi,2080,0,2.0,0.417578
B2,bi,2080,2,2.0,0.420313
B2,bi,2080,4,2.0,0.425
B2,bi,2080,0,2.5,0.417578
B2,bi,2080,2,2.5,0.421094
B2,bi,2080,4,2.5,0.427344
B2,bi,2080,0,3.0,0.417578
B2,bi,2080,2,3.0,0.422266
B2,bi,2080,4,3.0,0.430078
B2,bi,2160,0,0.0,0.442578
B2,bi,2160,2,0.0,0.442578
B2,bi,2160,4,0.0,0.442578
B2,bi,2160,0,0.5,0.442578
B2,bi,2160,2,0.5,0.442969
B2,bi,2160,4,0.5,0.444141
B2,bi,2160,0,1.0,0.442578
B2,bi,2160,2,1.0,0.44375
B2,bi,2160,4,1.0,0.445703
B2,bi,2160,0,1.5,0.442578
B2,bi,2160,2,1.5,0.444531
B2,bi,2160,4,1.5,0.448047
B2,bi,2160,0,2.0,0.442578
B2,bi,2160,2,2.0,0.445312
B2,bi,2160,4,2.0,0.450391
B2,bi,2160,0,2.5,0.442578
B2,bi,2160,2,2.5,0.446094
B2,bi,2160,4,2.5,0.452734
B2,bi,2160,0,3.0,0.442578
B2,bi,2160,2,3.0,0.447266
B2,bi,2160,4,3.0,0.455859
B2,bi,2240,0,0.0,0.467969
B2,bi,2240,2,0.0,0.467969
B2,bi,2240,4,0.0,0.467969
B2,bi,2240,0,0.5,0.467969
B2,bi,2240,2,0.5,0.46875
B2,bi,2240,4,0.5,0.469922
B2,bi,2240,0,1.0,0.467969
B2,bi,2240,2,1.0,0.469531
B2,bi,2240,4,1.0,0.471875
B2,bi,2240,0,1.5,0.467969
B2,bi,2240,2,1.5,0.470313
B2,bi,2240,4,1.5,0.473828
B2,bi,2240,0,2.0,0.467969
B2,bi,2240,2,2.0,0.471094
B2,bi,2240,4,2.0,0.476562
B2,bi,2240,0,2.5,0.467969
B2,bi,2240,2,2.5,0.471875
B2,bi,2240,4,2.5,0.479297
B2,bi,2240,0,3.0,0.467969
B2,bi,2240,2,3.0,0.473047
B2,bi,2240,4,3.0,0.482422
B2,bi,2320,0,0.0,0.494531
B2,bi,2320,2,0.0,0.494531
B2,bi,2320,4,0.0,0.494531
