campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,terminal_at_critical_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
B1,uni,2240.0,0,0.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,0.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,0.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,0.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,4,0.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,0,0.5,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,0.5,0.461328,0.10008592246651436,0.105061,0.255811,0.000371,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,0.5,0.461719,0.10020379628812791,0.105061,0.255811,0.000644,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,0.5,0.4625,0.10031506370017966,0.105061,0.255811,0.001314,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,4,0.5,0.462891,0.10027689984389275,0.105061,0.255811,0.001743,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,0,1.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,1.0,0.461719,0.10006745092105394,0.105061,0.255811,0.00078,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,1.0,0.4625,0.10027538901539045,0.105061,0.255811,0.001354,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,1.0,0.463672,0.10001781893198862,0.105061,0.255811,0.002783,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,4,1.0,0.464844,0.10027484907861138,0.105061,0.255811,0.003698,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,0,1.5,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,1.5,0.462109,0.10000640036832213,0.105061,0.255811,0.001232,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,1.5,0.463281,0.10027312019942712,0.105061,0.255811,0.002137,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,1.5,0.465625,0.10032375126273661,0.105061,0.255811,0.00443,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,4,1.5,0.466797,0.10002803014325466,0.105061,0.255811,0.005898,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,0,2.0,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,2.0,0.462891,0.10028796539019084,0.105061,0.255811,0.001732,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,2.0,0.464063,0.10018756972715857,0.105061,0.255811,0.003004,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,2.0,0.467187,0.10003392535916443,0.105061,0.255811,0.006283,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,4,2.0,0.469531,0.10027934296364825,0.105061,0.255811,0.008381,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,0,2.5,0.460938,0.10006654212598486,0.105061,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,1,2.5,0.463281,0.1001246401053467,0.105061,0.255811,0.002286,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,2,2.5,0.464844,0.10000788555957173,0.105061,0.255811,0.003965,0.03032665903741836,0.0,0.06405489349805092
B1,uni,2240.0,3,2.5,0.469531,0.10028813988620199,0.105061,0.255811,0.008372,0.03032665903741836,0.0,0.06405489349805092
