campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,terminal_mpa,pass_fail
C2,uni,2240.0,0.456,0,0.0,0.0,0.09512904212598487,FAIL
C2,uni,2240.0,0.458,0,0.0,0.0,0.09712904212598487,FAIL
C2,uni,2240.0,0.46,0,0.0,0.0,0.09912904212598488,FAIL
C2,uni,2240.0,0.462,0,0.0,0.0,0.10112904212598488,PASS
C2,uni,2240.0,0.464,0,0.0,0.0,0.10312904212598488,PASS
C2,uni,2240.0,0.466,0,0.0,0.0,0.10512904212598488,PASS
C2,uni,2240.0,0.468,0,0.0,0.0,0.10712904212598488,PASS
C2,uni,2240.0,0.47,0,0.0,0.0,0.10912904212598483,PASS
C2,uni,2240.0,0.472,0,0.0,0.0,0.11112904212598484,PASS
C2,uni,2240.0,0.474,0,0.0,0.0,0.11312904212598485,PASS
C2,uni,2240.0,0.476,0,0.0,0.0,0.11512904212598485,PASS
C2,uni,2240.0,0.478,0,0.0,0.0,0.11712904212598485,PASS
C2,uni,2240.0,0.48,0,0.0,0.0,0.11912904212598485,PASS
C2,uni,2240.0,0.482,0,0.0,0.0,0.12112904212598485,PASS
C2,bi,2240.0,0.456,0,0.0,0.0,0.08811283821876036,FAIL
C2,bi,2240.0,0.458,0,0.0,0.0,0.09011283821876036,FAIL
C2,bi,2240.0,0.46,0,0.0,0.0,0.09211283821876036,FAIL
C2,bi,2240.0,0.462,0,0.0,0.0,0.09411283821876036,FAIL
C2,bi,2240.0,0.464,0,0.0,0.0,0.09611283821876036,FAIL
C2,bi,2240.0,0.466,0,0.0,0.0,0.09811283821876036,FAIL
C2,bi,2240.0,0.468,0,0.0,0.0,0.10011283821876037,PASS
C2,bi,2240.0,0.47,0,0.0,0.0,0.10211283821876026,PASS
C2,bi,2240.0,0.472,0,0.0,0.0,0.10411283821876026,PASS
C2,bi,2240.0,0.474,0,0.0,0.0,0.10611283821876026,PASS
C2,bi,2240.0,0.476,0,0.0,0.0,0.10811283821876026,PASS
C2,bi,2240.0,0.478,0,0.0,0.0,0.11011283821876026,PASS
C2,bi,2240.0,0.48,0,0.0,0.0,0.11211283821876028,PASS
C2,bi,2240.0,0.482,0,0.0,0.0,0.11411283821876028,PASS
