campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,terminal_mpa,pass_fail
C2,uni,2560.0,0.524,0,0.0,0.0,0.09464498979858191,FAIL
C2,uni,2560.0,0.526,0,0.0,0.0,0.09664498979858191,FAIL
C2,uni,2560.0,0.528,0,0.0,0.0,0.09864498979858191,FAIL
C2,uni,2560.0,0.53,0,0.0,0.0,0.10064498979858191,PASS
C2,uni,2560.0,0.532,0,0.0,0.0,0.10264498979858191,PASS
C2,uni,2560.0,0.534,0,0.0,0.0,0.10464498979858192,PASS
C2,uni,2560.0,0.536,0,0.0,0.0,0.10664498979858192,PASS
C2,uni,2560.0,0.538,0,0.0,0.0,0.10864498979858192,PASS
C2,uni,2560.0,0.54,0,0.0,0.0,0.11064498979858192,PASS
C2,uni,2560.0,0.542,0,0.0,0.0,0.11264498979858191,PASS
C2,uni,2560.0,0.544,0,0.0,0.0,0.11464498979858191,PASS
C2,uni,2560.0,0.546,0,0.0,0.0,0.11664498979858191,PASS
C2,uni,2560.0,0.548,0,0.0,0.0,0.11864498979858192,PASS
C2,uni,2560.0,0.55,0,0.0,0.0,0.12064498979858192,PASS
C2,bi,2560.0,0.524,0,0.0,0.0,0.08531048276611555,FAIL
C2,bi,2560.0,0.526,0,0.0,0.0,0.08731048276611555,FAIL
C2,bi,2560.0,0.528,0,0.0,0.0,0.08931048276611556,FAIL
C2,bi,2560.0,0.53,0,0.0,0.0,0.09131048276611556,FAIL
C2,bi,2560.0,0.532,0,0.0,0.0,0.09331048276611556,FAIL
C2,bi,2560.0,0.534,0,0.0,0.0,0.09531048276611556,FAIL
C2,bi,2560.0,0.536,0,0.0,0.0,0.09731048276611556,FAIL
C2,bi,2560.0,0.538,0,0.0,0.0,0.09931048276611557,FAIL
C2,bi,2560.0,0.54,0,0.0,0.0,0.10131048276611557,PASS
C2,bi,2560.0,0.542,0,0.0,0.0,0.10331048276611557,PASS
C2,bi,2560.0,0.544,0,0.0,0.0,0.10531048276611557,PASS
C2,bi,2560.0,0.546,0,0.0,0.0,0.10731048276611557,PASS
C2,bi,2560.0,0.548,0,0.0,0.0,0.10931048276611557,PASS
C2,bi,2560.0,0.55,0,0.0,0.0,0.11131048276611556,PASS
