case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,pipe_size,delta_pressure_kpa,baseline_terminal_mpa,ranking
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,,,,,0.09736488593312649,-0.0026351140668735146,False,,,,,,7,,,,,,,,,25A,1.3119,0.09867675095444592,7
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09569140953973485,-0.00430859046026516,False,,,,,,0,,,,,,,,,50A,2.9853,0.09867675095444592,4
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09639109893380779,-0.003608901066192216,False,,,,,,1,,,,,,,,,50A,2.2857,0.09867675095444592,6
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09699749640867097,-0.003002503591329031,False,,,,,,2,,,,,,,,,50A,1.6793,0.09867675095444592,8
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09426950528107622,-0.005730494718923784,False,,,,,,3,,,,,,,,,40A,4.4072,0.09867675095444592,2
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09585611372348932,-0.004143886276510689,False,,,,,,4,,,,,,,,,40A,2.8206,0.09867675095444592,5
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09501522002837498,-0.004984779971625025,False,,,,,,5,,,,,,,,,32A,3.6615,0.09867675095444592,3
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09125670336760075,-0.008743296632399256,False,,,,,,6,,,,,,,,,25A,7.42,0.09867675095444592,1
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09682173905773464,-0.003178260942265365,False,,,,,,7,,,,,,,,,25A,1.855,0.09867675095444592,7
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09488756496461856,-0.005112435035381446,False,,,,,,0,,,,,,,,,50A,3.7892,0.09867675095444592,4
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.0957756554309844,-0.004224344569015603,False,,,,,,1,,,,,,,,,50A,2.9011,0.09867675095444592,6
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09654533383516803,-0.0034546661648319765,False,,,,,,2,,,,,,,,,50A,2.1314,0.09867675095444592,8
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09297216281447315,-0.007027837185526853,False,,,,,,3,,,,,,,,,40A,5.7046,0.09867675095444592,2
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09502581454486334,-0.00497418545513667,False,,,,,,4,,,,,,,,,40A,3.6509,0.09867675095444592,5
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09386041162011649,-0.006139588379883515,False,,,,,,5,,,,,,,,,32A,4.8163,0.09867675095444592,3
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.088518613275034,-0.011481386724966,False,,,,,,6,,,,,,,,,25A,10.1581,0.09867675095444592,1
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09613721653459295,-0.0038627834654070548,False,,,,,,7,,,,,,,,,25A,2.5395,0.09867675095444592,7
