case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,loss_bead_ratio_pct,terminal_B_mpa,improvement_pct
D1,tree,80A-65A,4,8,20,1600.0,0.5314,2.0,,,,,0.3531300591619857,0.2531300591619857,True,0.046336,0.124166,0.007768,0.0,3,,,,,,,,,,4.35743679696311,0.3608980215807192,2.199745452756894
D1,tree,80A-65A,4,8,20,1600.0,0.5314,2.5,,,,,0.35030633357482943,0.25030633357482945,True,0.046336,0.124166,0.010592,0.0,3,,,,,,,,,,5.84890692705518,0.3608980215807192,3.0235502446681486
D1,tree,80A-65A,4,8,24,1920.0,0.5314,0.0,,,,,0.28678953173913013,0.18678953173913013,True,0.065812,0.178799,0.0,0.0,3,,,,,,,,,,0.0,0.28678953173913013,0.0
D1,tree,80A-65A,4,8,24,1920.0,0.5314,0.5,,,,,0.28457401125867215,0.18457401125867215,True,0.065812,0.178799,0.002216,0.0,3,,,,,,,,,,0.8977984900619015,0.28678953173913013,0.7785392877792038
D1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.28202076213342026,0.18202076213342025,True,0.065812,0.178799,0.004769,0.0,3,,,,,,,,,,1.9123484540246531,0.28678953173913013,1.69092855775414
D1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2790601430497693,0.17906014304976928,True,0.065812,0.178799,0.007729,0.0,3,,,,,,,,,,3.062932702511756,0.28678953173913013,2.76979313666529
D1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.27560366585615376,0.17560366585615375,True,0.065812,0.178799,0.011186,0.0,3,,,,,,,,,,4.373010284701574,0.28678953173913013,4.058678192188718
D1,tree,80A-65A,4,8,24,1920.0,0.5314,2.5,,,,,0.2715375010106489,0.17153750101064888,True,0.065812,0.178799,0.015252,0.0,3,,,,,,,,,,5.8692578033835545,0.28678953173913013,5.616915038149043
D1,tree,80A-65A,4,8,28,2240.0,0.5314,0.0,,,,,0.19938155464437476,0.09938155464437476,True,0.088653,0.243366,0.0,0.0,3,,,,,,,,,,0.0,0.19938155464437476,0.0
D1,tree,80A-65A,4,8,28,2240.0,0.5314,0.5,,,,,0.19636598510152917,0.09636598510152916,True,0.088653,0.243366,0.003016,0.0,3,,,,,,,,,,0.9002071031247298,0.19938155464437476,1.5356883430123736
D1,tree,80A-65A,4,8,28,2240.0,0.5314,1.0,,,,,0.19289072934771404,0.09289072934771403,True,0.088653,0.243366,0.006491,0.0,3,,,,,,,,,,1.917525031882363,0.19938155464437476,3.3650270900059995
D1,tree,80A-65A,4,8,28,2240.0,0.5314,1.5,,,,,0.18886099781718912,0.08886099781718912,True,0.088653,0.243366,0.010521,0.0,3,,,,,,,,,,3.0714750533386006,0.19938155464437476,5.5705290921787745
D1,tree,80A-65A,4,8,28,2240.0,0.5314,2.0,,,,,0.18415634830365699,0.08415634830365698,True,0.088653,0.243366,0.015225,0.0,3,,,,,,,,,,4.38452940050116,0.19938155464437476,8.267543574231178
D1,tree,80A-65A,4,8,28,2240.0,0.5314,2.5,,,,,0.17862184615283086,0.07862184615283085,True,0.088653,0.243366,0.02076,0.0,3,,,,,,,,,,5.884718136201162,0.19938155464437476,11.622155373862649
D1,tree,80A-65A,4,8,30,2400.0,0.5314,0.0,,,,,0.1506911327384976,0.050691132738497596,True,0.101336,0.279374,0.0,0.0,3,,,,,,,,,,0.0,0.1506911327384976,0.0
D1,tree,80A-65A,4,8,30,2400.0,0.5314,0.5,,,,,0.1472293819877819,0.0472293819877819,True,0.101336,0.279374,0.003462,0.0,3,,,,,,,,,,0.9011620976932428,0.1506911327384976,2.3512635208935246
D1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.14323993022957573,0.04323993022957573,True,0.101336,0.279374,0.007451,0.0,3,,,,,,,,,,1.9195689047579945,0.1506911327384976,5.201903196252301
D1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13861396291137107,0.038613962911371064,True,0.101336,0.279374,0.012077,0.0,3,,,,,,,,,,3.074701964844775,0.1506911327384976,8.712808993743728
D1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.13321321729634694,0.033213217296346936,True,0.101336,0.279374,0.017478,0.0,3,,,,,,,,,,4.389397327888667,0.1506911327384976,13.120256230482882
D1,tree,80A-65A,4,8,30,2400.0,0.5314,2.5,,,,,0.1268598347252455,0.0268598347252455,True,0.101336,0.279374,0.023831,0.0,3,,,,,,,,,,5.890886009752463,0.1506911327384976,18.78553449550537
