case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,model_parameter
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13861396291137107,0.038613962911371064,,0.101336,0.279374,0.012077,,,,,,,,,,,,baseline
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13861396291137107,0.038613962911371064,,0.101336,0.279374,0.012077,,,,,,,,,,,,reducer=crane
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13249426095338576,0.032494260953385756,,0.101336,0.285494,0.012077,,,,,,,,,,,,reducer=sudden
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.1394405782315466,0.03944057823154659,,0.101336,0.278547,0.012077,,,,,,,,,,,,reducer=none
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13861396291137107,0.038613962911371064,,0.101336,0.279374,0.012077,,,,,,,,,,,,head_fitting=True
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.20847788832352931,0.10847788832352931,,0.101336,0.20951,0.012077,,,,,,,,,,,,head_fitting=False
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14299731286736372,0.04299731286736372,,0.101336,0.279374,0.007694,,,,,,,,,,,,K_base=0.45
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.13861396291137107,0.038613962911371064,,0.101336,0.279374,0.012077,,,,,,,,,,,,K_base=0.5
V2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.1342306129553785,0.03423061295537849,,0.101336,0.279374,0.016461,,,,,,,,,,,,K_base=0.55
