case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,ci95_width
P2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,0.25,,0.2,100,,,,,,,,,,0.1479728661943737,0.0020503219397314137,0.14407428737409797,0.1484375292674676,0.1506911327384976,0.0,0.0,0.03699480747600191,0.03699480747600191
P2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,0.25,,0.2,300,,,,,,,,,,0.14794751165971606,0.001955336969316617,0.14414459848451586,0.1483198124522706,0.1506911327384976,0.0,0.0,0.012643429997735661,0.012643429997735661
P2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,0.25,,0.2,1000,,,,,,,,,,0.1480635861301329,0.0018651071907478224,0.1445617170877618,0.14827388072338998,0.1506911327384976,0.0,0.0,0.003826898586390522,0.003826898586390522
P2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,0.25,,0.2,3000,,,,,,,,,,0.1479968811404178,0.0018591074282474547,0.14459883817244976,0.14826913435617392,0.1506911327384976,0.0,0.0,0.0012788956648046956,0.0012788956648046956
P2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,0.25,,0.2,10000,,,,,,,,,,0.14800093634698488,0.0019214517900973322,0.1443847665896818,0.1482827069285793,0.1506911327384976,0.0,0.0,0.00038401247776654115,0.00038401247776654115
