campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A2,uni,1400,0.453674,0,0.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,1,0.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,2,0.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,3,0.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,4,0.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,0,0.5,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,1,0.5,0.3140811778984539,PASS,0.039522,0.099926,0.000145,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,2,0.5,0.31397463446939666,PASS,0.039522,0.099926,0.000252,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,3,0.5,0.3137129225209794,PASS,0.039522,0.099926,0.000513,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,4,0.5,0.31354542687399234,PASS,0.039522,0.099926,0.000681,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,0,1.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,1,1.0,0.31392137456038344,PASS,0.039522,0.099926,0.000305,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,2,1.0,0.3136974245972336,PASS,0.039522,0.099926,0.000529,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,3,1.0,0.3131390476115298,PASS,0.039522,0.099926,0.001087,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,4,1.0,0.3127816863406793,PASS,0.039522,0.099926,0.001445,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,0,1.5,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,1,1.5,0.3137449387975976,PASS,0.039522,0.099926,0.000481,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,2,1.5,0.3133913625597479,PASS,0.039522,0.099926,0.000835,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,3,1.5,0.31249561297510325,PASS,0.039522,0.099926,0.001731,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,4,1.5,0.31192233324093066,PASS,0.039522,0.099926,0.002304,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,0,2.0,0.31422619534355956,PASS,0.039522,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,1,2.0,0.31354974935301505,PASS,0.039522,0.099926,0.000676,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,2,2.0,0.31305276862526804,PASS,0.039522,0.099926,0.001173,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,3,2.0,0.3117720481690204,PASS,0.039522,0.099926,0.002454,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.453674,4,2.0,0.3109523870770219,PASS,0.039522,0.099926,0.003274,0.012118700429429217,0.0,0.025021442772676133
