campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1,uni,2240.0,0.448,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.0935436615733072,0.00021643358397502587,0.09317921441261133,0.09354967883094789,0.09389198334934323
C1,uni,2240.0,0.45,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.0955436615733072,0.00021643358397502587,0.09517921441261133,0.09554967883094789,0.09589198334934323
C1,uni,2240.0,0.452,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.0975436615733072,0.00021643358397502587,0.09717921441261133,0.0975496788309479,0.09789198334934324
C1,uni,2240.0,0.454,1,1.0,0.25,10000,0.9861,0.9836115010659705,0.9882151620031447,0.09954366157330719,0.00021643358397502587,0.09917921441261134,0.0995496788309479,0.09989198334934324
C1,uni,2240.0,0.456,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10154366157330719,0.00021643358397502587,0.10117921441261134,0.1015496788309479,0.10189198334934324
C1,uni,2240.0,0.458,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10354366157330719,0.00021643358397502587,0.10317921441261134,0.1035496788309479,0.10389198334934324
C1,uni,2240.0,0.46,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10554366157330719,0.00021643358397502587,0.10517921441261134,0.1055496788309479,0.10589198334934324
C1,uni,2240.0,0.462,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10754366157330719,0.00021643358397502587,0.10717921441261134,0.1075496788309479,0.10789198334934325
C1,uni,2240.0,0.464,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1095436615733072,0.00021643358397502587,0.10917921441261134,0.1095496788309479,0.10989198334934325
C1,uni,2240.0,0.466,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1115436615733072,0.00021643358397502587,0.11117921441261133,0.1115496788309479,0.11189198334934324
C1,uni,2240.0,0.468,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11354366157330718,0.00021643358397502587,0.11317921441261133,0.1135496788309479,0.11389198334934324
C1,uni,2240.0,0.47,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11554366157330714,0.00021643358397502584,0.11517921441261128,0.11554967883094784,0.11589198334934318
C1,uni,2240.0,0.472,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11754366157330715,0.00021643358397502584,0.11717921441261128,0.11754967883094784,0.11789198334934319
C1,uni,2240.0,0.474,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11954366157330715,0.00021643358397502584,0.11917921441261128,0.11954967883094784,0.11989198334934319
C1,uni,2240.0,0.448,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09296277093969262,0.0002694494399594308,0.09251212134085547,0.09296683200484776,0.0933958354082226
C1,uni,2240.0,0.45,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.0949627709396926,0.0002694494399594308,0.09451212134085547,0.09496683200484776,0.0953958354082226
C1,uni,2240.0,0.452,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09696277093969262,0.0002694494399594308,0.09651212134085548,0.09696683200484776,0.09739583540822261
C1,uni,2240.0,0.454,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09896277093969261,0.0002694494399594308,0.09851212134085548,0.09896683200484777,0.09939583540822261
C1,uni,2240.0,0.456,2,1.0,0.25,10000,0.0002,5.4847779209068104e-05,0.0007290110935663664,0.10096277093969262,0.0002694494399594308,0.10051212134085548,0.10096683200484777,0.10139583540822261
C1,uni,2240.0,0.458,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10296277093969261,0.0002694494399594308,0.10251212134085548,0.10296683200484777,0.10339583540822261
C1,uni,2240.0,0.46,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10496277093969263,0.0002694494399594308,0.10451212134085548,0.10496683200484777,0.10539583540822262
C1,uni,2240.0,0.462,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10696277093969263,0.0002694494399594308,0.10651212134085548,0.10696683200484777,0.10739583540822262
C1,uni,2240.0,0.464,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10896277093969262,0.0002694494399594308,0.10851212134085549,0.10896683200484777,0.10939583540822262
C1,uni,2240.0,0.466,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11096277093969263,0.00026944943995942707,0.11051212134085549,0.11096683200484776,0.11139583540822261
C1,uni,2240.0,0.468,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11296277093969263,0.0002694494399594308,0.11251212134085548,0.11296683200484776,0.11339583540822261
C1,uni,2240.0,0.47,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11496277093969257,0.0002694494399594308,0.11451212134085541,0.11496683200484771,0.11539583540822256
C1,uni,2240.0,0.472,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11696277093969258,0.0002694494399594308,0.11651212134085541,0.11696683200484771,0.11739583540822256
C1,uni,2240.0,0.474,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11896277093969258,0.0002694494399594308,0.11851212134085541,0.11896683200484771,0.11939583540822256
C1,uni,2240.0,0.448,3,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09151927709096473,0.000491591100397919,0.09068482938804386,0.0915330564040592,0.092307325816356
C1,uni,2240.0,0.45,3,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09351927709096473,0.000491591100397919,0.09268482938804386,0.0935330564040592,0.09430732581635601
C1,uni,2240.0,0.452,3,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09551927709096475,0.0004915911003979191,0.09468482938804386,0.09553305640405921,0.09630732581635601
