campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
D1,uni,2040,0.453674,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.15921721809315326,0.00017951012497418453,0.15891494543212967,0.15922220880971047,0.15950611635191278
D1,uni,2040,0.453674,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.15873542710526056,0.00022348150297655617,0.15836165809806177,0.1587387953547722,0.1590946109964106
D1,uni,2040,0.453674,3,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.15753819257064922,0.0004077259094818202,0.156846101220108,0.15754962113996007,0.1581918005855544
D1,uni,2040,0.453674,4,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.15677310498833869,0.00045998190410700035,0.15599325325935437,0.15678382709913924,0.15750408499012014
D1,uni,2040,0.453674,1,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1592029241824734,0.000355483516462225,0.15858374964241262,0.15922455206804761,0.1597699588422251
D1,uni,2040,0.453674,2,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.15870684340504984,0.0004437661180346178,0.15794678182131305,0.158725449765328,0.1594018589964325
D1,uni,2040,0.453674,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.15747165966333868,0.0008117104670635568,0.1560520045917377,0.15751865065314544,0.15873603432297637
D1,uni,2040,0.453674,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.15668353908258076,0.0009185306723014464,0.15509957833316104,0.15672838353435706,0.15810224014446178
D1,uni,2040,0.453674,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.15916619955346664,0.0005172717774925277,0.15822351179782046,0.15922689380008645,0.15986707941738396
D1,uni,2040,0.453674,2,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.15864032652664947,0.0006470210578265914,0.15748790459402986,0.15869316834781322,0.15960353149476122
