campaign,topology,case,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,extra_inlet_loss_mpa
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,2.5,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,2.5,0.09701564838387086,-0.002984351616129144,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,2.5,0.0876811413514045,-0.012318858648595499,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,2.5,0.09472999636323273,-0.005270003636767273,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,2.5,0.08539548933076638,-0.014604510669233628,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,2.5,0.09305074181745779,-0.006949258182542217,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,2.5,0.08371623478499143,-0.016283765215008572,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,2.5,0.08864349614408809,-0.011356503855911915,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,2.5,0.07930898911162174,-0.02069101088837827,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,3.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,3.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,3.0,0.09621180380875458,-0.00378819619124543,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,3.0,0.08687729677628822,-0.013122703223711785,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,3.0,0.09331070828529306,-0.006689291714706946,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,3.0,0.08397620125282665,-0.016023798747173357,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,3.0,0.09117929116601517,-0.008820708833984836,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,3.0,0.08184478413354876,-0.018155215866451246,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,3.0,0.0854747030260424,-0.014525296973957602,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,3.0,0.076140195993576,-0.023859804006424012,FAIL,0.0
