campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-2_plus2,0,0.0,0.529687
B1,bi,BI-2_plus2,0,0.0,0.569531
B1,uni,BI-2_plus2,1,0.0,0.529687
B1,bi,BI-2_plus2,1,0.0,0.569531
B1,uni,BI-2_plus2,2,0.0,0.529687
B1,bi,BI-2_plus2,2,0.0,0.569531
B1,uni,BI-2_plus2,3,0.0,0.529687
B1,bi,BI-2_plus2,3,0.0,0.569531
B1,uni,BI-2_plus2,4,0.0,0.529687
B1,bi,BI-2_plus2,4,0.0,0.569531
B1,uni,BI-2_plus2,0,0.5,0.529687
B1,bi,BI-2_plus2,0,0.5,0.569531
B1,uni,BI-2_plus2,1,0.5,0.530078
B1,bi,BI-2_plus2,1,0.5,0.569922
B1,uni,BI-2_plus2,2,0.5,0.530469
B1,bi,BI-2_plus2,2,0.5,0.570313
B1,uni,BI-2_plus2,3,0.5,0.530859
B1,bi,BI-2_plus2,3,0.5,0.570313
B1,uni,BI-2_plus2,4,0.5,0.53125
B1,bi,BI-2_plus2,4,0.5,0.571094
B1,uni,BI-2_plus2,0,1.0,0.529687
B1,bi,BI-2_plus2,0,1.0,0.569531
B1,uni,BI-2_plus2,1,1.0,0.530469
B1,bi,BI-2_plus2,1,1.0,0.570313
B1,uni,BI-2_plus2,2,1.0,0.53125
B1,bi,BI-2_plus2,2,1.0,0.571094
B1,uni,BI-2_plus2,3,1.0,0.532031
B1,bi,BI-2_plus2,3,1.0,0.571875
B1,uni,BI-2_plus2,4,1.0,0.533203
B1,bi,BI-2_plus2,4,1.0,0.573047
B1,uni,BI-2_plus2,0,1.5,0.529687
B1,bi,BI-2_plus2,0,1.5,0.569531
B1,uni,BI-2_plus2,1,1.5,0.53125
B1,bi,BI-2_plus2,1,1.5,0.571094
B1,uni,BI-2_plus2,2,1.5,0.532422
B1,bi,BI-2_plus2,2,1.5,0.572266
B1,uni,BI-2_plus2,3,1.5,0.533203
B1,bi,BI-2_plus2,3,1.5,0.573047
B1,uni,BI-2_plus2,4,1.5,0.535547
B1,bi,BI-2_plus2,4,1.5,0.575391
B1,uni,BI-2_plus2,0,2.0,0.529687
B1,bi,BI-2_plus2,0,2.0,0.569531
B1,uni,BI-2_plus2,1,2.0,0.531641
B1,bi,BI-2_plus2,1,2.0,0.571484
B1,uni,BI-2_plus2,2,2.0,0.533594
B1,bi,BI-2_plus2,2,2.0,0.573438
B1,uni,BI-2_plus2,3,2.0,0.534766
B1,bi,BI-2_plus2,3,2.0,0.574609
B1,uni,BI-2_plus2,4,2.0,0.538281
B1,bi,BI-2_plus2,4,2.0,0.577734
B1,uni,BI-2_plus2,0,2.5,0.529687
B1,bi,BI-2_plus2,0,2.5,0.569531
B1,uni,BI-2_plus2,1,2.5,0.532422
B1,bi,BI-2_plus2,1,2.5,0.572266
B1,uni,BI-2_plus2,2,2.5,0.534766
B1,bi,BI-2_plus2,2,2.5,0.574609
B1,uni,BI-2_plus2,3,2.5,0.536328
B1,bi,BI-2_plus2,3,2.5,0.576172
B1,uni,BI-2_plus2,4,2.5,0.541016
B1,bi,BI-2_plus2,4,2.5,0.580859
B1,uni,BI-2_plus2,0,3.0,0.529687
B1,bi,BI-2_plus2,0,3.0,0.569531
B1,uni,BI-2_plus2,1,3.0,0.533203
B1,bi,BI-2_plus2,1,3.0,0.573047
B1,uni,BI-2_plus2,2,3.0,0.536328
B1,bi,BI-2_plus2,2,3.0,0.576172
B1,uni,BI-2_plus2,3,3.0,0.538281
B1,bi,BI-2_plus2,3,3.0,0.578125
B1,uni,BI-2_plus2,4,3.0,0.544141
B1,bi,BI-2_plus2,4,3.0,0.583984
