case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.05,10000,,,,,,,,,0.10682149988009246,0.0008782029081241638,0.10499101266092532,0.10727675095444597,0.10727675095444597,0.0004,0.00015556032105416015,0.0010281449467301677
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.05,10000,,,,,,,,,0.10640610590806517,0.001625403233302401,0.10307822865482029,0.10727675095444597,0.10727675095444597,0.0117,0.009771966139838478,0.014003060445948328
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.05,10000,,,,,,,,,0.10583167134042158,0.002644052016870106,0.10051558481523744,0.10727675095444597,0.10727675095444597,0.0412,0.03747740087442563,0.045274968975172934
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.05,10000,,,,,,,,,0.10486405917313159,0.004697219729568779,0.09652346682792998,0.10727675095444597,0.10727675095444597,0.0988,0.09310465093662777,0.10480348067553207
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.05,10000,,,,,,,,,0.1035310503444673,0.008238446591762516,0.0911652335902952,0.10727675095444597,0.10727675095444597,0.1628,0.15569373102960388,0.17016524698540186
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.1,10000,,,,,,,,,0.1063358381868788,0.0012218780236155412,0.10379518785937927,0.10675621488675824,0.10727675095444597,0.0009,0.00047357165665044376,0.0017097495986561175
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.1,10000,,,,,,,,,0.10555421903093368,0.0021820741056035914,0.10117020336105083,0.10625835892667078,0.10727675095444597,0.0277,0.024660283647618467,0.0311024545388798
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.1,10000,,,,,,,,,0.10436254278584466,0.003745695470092953,0.09727444968552722,0.10551237832172687,0.10727675095444597,0.1081,0.10216387166717499,0.1143371173128984
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.1,10000,,,,,,,,,0.10260062194207428,0.006478002767068583,0.09141484768739315,0.10443975938925779,0.10727675095444597,0.2204,0.2123836991156183,0.22863104066194875
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.1,10000,,,,,,,,,0.09985133342487713,0.01239124227747281,0.08167355664073508,0.10301578665162964,0.10727675095444597,0.3348,0.32561535559831856,0.3441115221243354
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.2,10000,,,,,,,,,0.10537949293350216,0.001602320203645427,0.10228677527310485,0.10567866272152046,0.10727675095444597,0.0058,0.004489655555780853,0.0074899023772435945
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.2,10000,,,,,,,,,0.10379119835880674,0.002904983048751837,0.09818606877527665,0.10439312777975623,0.10727675095444597,0.1038,0.09797333949841576,0.10993095198896642
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.2,10000,,,,,,,,,0.10153101526819414,0.0048779380569246335,0.09219925612453211,0.10263941352193627,0.10727675095444597,0.2909,0.28207976542675767,0.2998808285914442
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.2,10000,,,,,,,,,0.09841231500977007,0.008112806635558264,0.08427785277442057,0.10011024821179706,0.10727675095444597,0.4949,0.4851043498210815,0.5046995671061916
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.2,10000,,,,,,,,,0.09304005069837502,0.015800238547462063,0.06823276848951379,0.09692577946003683,0.10705734410733882,0.6513,0.641902958898339,0.6605808389258888
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.3,10000,,,,,,,,,0.10439070589217576,0.001886715571427323,0.10089868181525169,0.10466085535902067,0.10700571653846162,0.0251,0.02221153060308387,0.02835320444829879
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.3,10000,,,,,,,,,0.1020861818411753,0.003290248867617963,0.09594135602952489,0.10261531569554569,0.10648363441203962,0.2315,0.22333694578537897,0.23986926891518165
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.3,10000,,,,,,,,,0.09886992944385102,0.0054173305885782215,0.08865072680082486,0.0997975857697555,0.10582191978968435,0.515,0.5052005301063999,0.5247879495192672
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.3,10000,,,,,,,,,0.09419614718365776,0.00946187440293322,0.0774251177046765,0.09610779935176812,0.10490385219535417,0.7194,0.7105109049594237,0.7281205903653324
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.3,10000,,,,,,,,,0.08706737723103122,0.019389734179874014,0.059198056874173406,0.09087295400180795,0.10336733733942656,0.8545,0.8474528106824739,0.8612749244707896
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.05,10000,,,,,,,,,0.116815656627463,0.0008787307304285666,0.1149640299709068,0.11727675095444597,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.05,10000,,,,,,,,,0.11642131076537424,0.0016189332666263247,0.1131715883973008,0.11727675095444597,0.11727675095444597,0.0001,1.765221952685649e-05,0.0005662834557441313
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.05,10000,,,,,,,,,0.11580403521185606,0.0028097123075173816,0.11059159511073932,0.11727675095444597,0.11727675095444597,0.0048,0.003622473612075849,0.006357852345904131
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.05,10000,,,,,,,,,0.11501580037293914,0.004551318815687086,0.10699149748507218,0.11727675095444597,0.11727675095444597,0.0142,0.012060537993537884,0.01671256852986009
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.05,10000,,,,,,,,,0.1133281962982152,0.008832745921965614,0.10096837610090983,0.11717009838682368,0.11727675095444597,0.0453,0.04139561232521854,0.04955360862206234
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.1,10000,,,,,,,,,0.11633595965920474,0.0012093590462577035,0.11388341049324566,0.11674982283770592,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.1,10000,,,,,,,,,0.11551623295084619,0.0022317621852020256,0.11111277514971796,0.11621807620527362,0.11727675095444597,0.0003,0.00010203035287762114,0.0008817517174022601
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.1,10000,,,,,,,,,0.11433729511031197,0.003618807200735684,0.10720218728583236,0.11541941027665102,0.11727675095444597,0.0076,0.006076759374474527,0.009501416113629962
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.1,10000,,,,,,,,,0.1125892467100127,0.006056424625889021,0.10108471162544255,0.1144022395354692,0.11727675095444597,0.0429,0.039100836340214995,0.04705022786695917
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.1,10000,,,,,,,,,0.1098337950963568,0.011077530269033957,0.09240201069070968,0.11296349157938472,0.11727675095444597,0.1092,0.10323636013941712,0.1154637840132052
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.2,10000,,,,,,,,,0.11536711348201084,0.0016304821672008891,0.11219512283375141,0.11569013837354596,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.2,10000,,,,,,,,,0.11377208933247543,0.0029202277065278706,0.10809628800948912,0.1143840510102671,0.11727675095444597,0.001,0.0005432800768105723,0.0018399643760004356
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.2,10000,,,,,,,,,0.11149802315714782,0.004887735023671467,0.10233611810781344,0.11257850130853043,0.11727675095444597,0.0306,0.027400359019925945,0.03416015189420128
