campaign,topology,case,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,extra_inlet_loss_mpa
A1,uni,BI-0_symmetric,2240.0,0.453674,3,2.0,0.09371857618395221,-0.006281423816047793,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,3,2.0,0.08670237227672764,-0.013297627723272365,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,4,2.0,0.091620243788436,-0.008379756211564005,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,4,2.0,0.08460403988121143,-0.015395960118788576,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,0,2.5,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-0_symmetric,2240.0,0.453674,0,2.5,0.09298498904354799,-0.007015010956452017,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,1,2.5,0.09771554093013443,-0.0022844590698655742,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,1,2.5,0.09069933702290986,-0.009300662977090146,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,2,2.5,0.09603628638435949,-0.003963713615640518,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,2,2.5,0.08902008247713492,-0.01097991752286509,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,3,2.5,0.09162904071098979,-0.008370959289010216,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,3,2.5,0.08461283680376522,-0.015387163196234788,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,4,2.5,0.08880840348003319,-0.011191596519966818,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,4,2.5,0.08179219957280862,-0.01820780042719139,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,0,3.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-0_symmetric,2240.0,0.453674,0,3.0,0.09298498904354799,-0.007015010956452017,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,1,3.0,0.09710009742731104,-0.0028999025726889616,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,1,3.0,0.09008389352008647,-0.009916106479913533,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,2,3.0,0.09496868030803315,-0.005031319691966851,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,2,3.0,0.08795247640080858,-0.012047523599191423,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,3,3.0,0.08926409216806039,-0.010735907831939617,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,3,3.0,0.08224788826083582,-0.01775211173916419,FAIL,0.0
A1,uni,BI-0_symmetric,2240.0,0.453674,4,3.0,0.0856131557584778,-0.014386844241522201,FAIL,
A1,bi,BI-0_symmetric,2240.0,0.453674,4,3.0,0.07859695185125323,-0.021403048148746773,FAIL,0.0
