campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2240.0,0.448,0,0.0,0.09469245670517143,FAIL,0.45,1.0,1.06
C2,uni,2240.0,0.45,0,0.0,0.09669245670517143,FAIL,0.45,1.0,1.06
C2,uni,2240.0,0.452,0,0.0,0.09869245670517143,FAIL,0.45,1.0,1.06
C2,uni,2240.0,0.454,0,0.0,0.10069245670517143,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.456,0,0.0,0.10269245670517144,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.458,0,0.0,0.10469245670517144,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.46,0,0.0,0.10669245670517144,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.462,0,0.0,0.10869245670517144,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.464,0,0.0,0.11069245670517144,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.466,0,0.0,0.11269245670517143,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.468,0,0.0,0.11469245670517143,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.47,0,0.0,0.11669245670517138,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.472,0,0.0,0.11869245670517138,PASS,0.45,1.0,1.06
C2,uni,2240.0,0.474,0,0.0,0.12069245670517138,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.448,0,0.0,0.08731098904354803,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.45,0,0.0,0.08931098904354803,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.452,0,0.0,0.09131098904354804,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.454,0,0.0,0.09331098904354804,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.456,0,0.0,0.09531098904354804,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.458,0,0.0,0.09731098904354804,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.46,0,0.0,0.09931098904354804,FAIL,0.45,1.0,1.06
C2,bi,2240.0,0.462,0,0.0,0.10131098904354804,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.464,0,0.0,0.10331098904354805,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.466,0,0.0,0.10531098904354805,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.468,0,0.0,0.10731098904354805,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.47,0,0.0,0.10931098904354794,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.472,0,0.0,0.11131098904354793,PASS,0.45,1.0,1.06
C2,bi,2240.0,0.474,0,0.0,0.11331098904354793,PASS,0.45,1.0,1.06
