campaign,topology,placement,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1_focused,uni,upstream,2240.0,0.4497,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09268520581385971,0.0014318741068577764,0.08992135482165363,0.09291803071375898,0.09447719145485212
C1_focused,uni,upstream,2240.0,0.4517,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09468520581385971,0.0014318741068577764,0.09192135482165363,0.09491803071375898,0.09647719145485212
C1_focused,uni,upstream,2240.0,0.453674,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09665920581385974,0.0014318741068577764,0.09389535482165366,0.09689203071375901,0.09845119145485215
C1_focused,uni,upstream,2240.0,0.4557,2,1.5,0.5,1000,0.843,0.8191437085463132,0.8642310390234228,0.09868520581385971,0.0014318741068577764,0.09592135482165363,0.09891803071375899,0.10047719145485212
C1_focused,uni,upstream,2240.0,0.4577,2,1.5,0.5,1000,0.238,0.21263910590157722,0.2653661889576915,0.10068520581385972,0.0014318741068577764,0.09792135482165364,0.10091803071375899,0.10247719145485212
C1_focused,uni,upstream,2240.0,0.4497,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08919324311180557,0.0019351524615127465,0.08559966084884471,0.08944777967128281,0.09200416753588606
C1_focused,uni,upstream,2240.0,0.4517,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09119324311180559,0.0019351524615127465,0.08759966084884471,0.09144777967128281,0.09400416753588606
C1_focused,uni,upstream,2240.0,0.453674,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09316724311180562,0.0019351524615127465,0.08957366084884474,0.09342177967128285,0.09597816753588609
C1_focused,uni,upstream,2240.0,0.4557,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09519324311180558,0.0019351524615127465,0.09159966084884472,0.09544777967128282,0.09800416753588606
C1_focused,uni,upstream,2240.0,0.4577,4,1.5,0.5,1000,0.948,0.9324439406590116,0.9601271582075824,0.09719324311180559,0.0019351524615127465,0.09359966084884472,0.09744777967128282,0.10000416753588606
