case,time,inlet_nFaces,inlet_area_m2,inlet_p_area_avg_Pa,inlet_flow_m3_s,inlet_normal_velocity_avg_m_s,inlet_speed_area_avg_m_s,outlet1_nFaces,outlet1_area_m2,outlet1_p_area_avg_Pa,outlet1_flow_m3_s,outlet1_normal_velocity_avg_m_s,outlet1_speed_area_avg_m_s,outlet2_nFaces,outlet2_area_m2,outlet2_p_area_avg_Pa,outlet2_flow_m3_s,outlet2_normal_velocity_avg_m_s,outlet2_speed_area_avg_m_s,dp_inlet_to_outlet1_Pa,dp_inlet_to_outlet2_Pa,total_outflow_m3_s,mass_balance_error_m3_s
baseline,1.5,25,0.0004,9.7245424,-0.0031165758400000004,-7.7914396,7.798385827986932,25,0.00039999999999999996,9.9980792,0.0012766041600000004,3.191510400000001,3.191770057941714,25,0.00039999999999999996,0.006194294399999988,0.0018376404800000007,4.594101200000002,4.594395753328672,-0.2735367999999987,9.7183481056,0.0031142446400000013,-2.3311999999993654e-06
bead1p5,1.5,25,0.0004,10.0378748,-0.0031004745600000006,-7.751186400000001,7.758085228568651,30,0.00039999999999999996,9.99948217,0.0012779349920000003,3.194837480000001,3.1950514391280236,30,0.00039999999999999996,0.00506817197999998,0.0018202243720000003,4.550560930000001,4.550843471336384,0.038392630000000594,10.032806628020001,0.0030981593640000008,-2.315195999999997e-06
bead3p0,1.5,25,0.0004,12.0525152,-0.00299455904,-7.4863976,7.4930651579868535,25,0.00039999999999999996,10.00009125,0.0012424013800000002,3.1060034500000007,3.1062031760540743,25,0.00039999999999999996,0.003072796634999989,0.0017499834000000002,4.374958500000001,4.3751791484183356,2.0524239499999997,12.049442403365001,0.00299238478,-2.174259999999798e-06
