campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A1,uni,2240.0,0.471668,0,0.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,0.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,0.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,0.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,0.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,0.5,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,0.5,0.09962857122933268,-0.0003714287706673286,FAIL,0.115858,0.255811,0.000371,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,0.5,0.09935582005094619,-0.0006441799490538164,FAIL,0.115858,0.255811,0.000644,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,0.5,0.09868583746299793,-0.0013141625370020754,FAIL,0.115858,0.255811,0.001314,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,0.5,0.09825704860671104,-0.0017429513932889634,FAIL,0.115858,0.255811,0.001743,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,1.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,1.0,0.09921947468387228,-0.0007805253161277254,FAIL,0.115858,0.255811,0.00078,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,1.0,0.09864616277820877,-0.0013538372217912348,FAIL,0.115858,0.255811,0.001354,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,1.0,0.09721671769480696,-0.0027832823051930494,FAIL,0.115858,0.255811,0.002783,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,1.0,0.09630187284142978,-0.003698127158570222,FAIL,0.115858,0.255811,0.003698,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,1.5,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,1.5,0.09876779913114044,-0.0012322008688595704,FAIL,0.115858,0.255811,0.001232,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,1.5,0.09786264396224538,-0.002137356037754626,FAIL,0.115858,0.255811,0.002137,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,1.5,0.09556952502555495,-0.004430474974445056,FAIL,0.115858,0.255811,0.00443,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,1.5,0.09410192890607307,-0.00589807109392694,FAIL,0.115858,0.255811,0.005898,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,2.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,2.0,0.09826811415300919,-0.0017318858469908133,FAIL,0.115858,0.255811,0.001732,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,2.0,0.09699584348997688,-0.0030041565100231288,FAIL,0.115858,0.255811,0.003004,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,2.0,0.0937171991219828,-0.006282800878017206,FAIL,0.115858,0.255811,0.006283,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,2.0,0.09161886672646659,-0.008381133273533417,FAIL,0.115858,0.255811,0.008381,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,2.5,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,2.5,0.09771416386816502,-0.002285836131834987,FAIL,0.115858,0.255811,0.002286,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,2.5,0.09603490932239002,-0.0039650906776099865,FAIL,0.115858,0.255811,0.003965,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,2.5,0.09162766364902032,-0.008372336350979684,FAIL,0.115858,0.255811,0.008372,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,2.5,0.08880702641806369,-0.011192973581936314,FAIL,0.115858,0.255811,0.011193,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,0,3.0,0.09999981588880315,-1.841111968575726e-07,FAIL,0.115858,0.255811,0.0,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,1,3.0,0.09709872036534158,-0.0029012796346584296,FAIL,0.115858,0.255811,0.002901,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,2,3.0,0.09496730324606369,-0.005032696753936319,FAIL,0.115858,0.255811,0.005033,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,3,3.0,0.08926271510609089,-0.010737284893909113,FAIL,0.115858,0.255811,0.010737,0.03032665903741836,0.0,0.06405489349805092
A1,uni,2240.0,0.471668,4,3.0,0.08561177869650831,-0.014388221303491697,FAIL,0.115858,0.255811,0.014388,0.03032665903741836,0.0,0.06405489349805092
A1,bi,2240.0,0.471668,0,0.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,1,0.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,2,0.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,3,0.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,4,0.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,0,0.5,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,1,0.5,0.0926123673221081,-0.0073876326778919005,FAIL,0.095712,0.28297271601741236,0.000371,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,2,0.5,0.09233961614372162,-0.007660383856278388,FAIL,0.095712,0.28297271601741236,0.000644,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,3,0.5,0.09166963355577336,-0.008330366444226647,FAIL,0.095712,0.28297271601741236,0.001314,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,4,0.5,0.09124084469948647,-0.008759155300513535,FAIL,0.095712,0.28297271601741236,0.001743,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,0,1.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,1,1.0,0.09220327077664771,-0.007796729223352297,FAIL,0.095712,0.28297271601741236,0.00078,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,2,1.0,0.0916299588709842,-0.008370041129015807,FAIL,0.095712,0.28297271601741236,0.001354,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,3,1.0,0.09020051378758236,-0.009799486212417649,FAIL,0.095712,0.28297271601741236,0.002783,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,4,1.0,0.08928566893420516,-0.01071433106579485,FAIL,0.095712,0.28297271601741236,0.003698,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,0,1.5,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,1,1.5,0.09175159522391586,-0.008248404776084142,FAIL,0.095712,0.28297271601741236,0.001232,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,2,1.5,0.09084644005502081,-0.009153559944979198,FAIL,0.095712,0.28297271601741236,0.002137,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,3,1.5,0.08855332111833038,-0.011446678881669628,FAIL,0.095712,0.28297271601741236,0.00443,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,4,1.5,0.0870857249988485,-0.012914275001151512,FAIL,0.095712,0.28297271601741236,0.005898,0.0022740141487929497,0.03248582251936147,0.06405489349805092
A1,bi,2240.0,0.471668,0,2.0,0.09298361198157858,-0.0070163880184214295,FAIL,0.095712,0.28297271601741236,0.0,0.0022740141487929497,0.03248582251936147,0.06405489349805092
