campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1,uni,2240.0,0.466,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09354828451133784,0.00021643358397502598,0.09318383735064198,0.09355430176897854,0.09389660628737388
C1,uni,2240.0,0.468,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09554828451133786,0.00021643358397502598,0.09518383735064198,0.09555430176897854,0.09589660628737388
C1,uni,2240.0,0.47,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09754828451133779,0.000216433583975026,0.09718383735064193,0.09755430176897849,0.09789660628737383
C1,uni,2240.0,0.472,1,1.0,0.25,10000,0.9855,0.9829636254634095,0.9876634984206791,0.09954828451133779,0.000216433583975026,0.09918383735064193,0.09955430176897849,0.09989660628737383
C1,uni,2240.0,0.474,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10154828451133781,0.000216433583975026,0.10118383735064193,0.10155430176897849,0.10189660628737383
C1,uni,2240.0,0.476,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10354828451133781,0.000216433583975026,0.10318383735064193,0.1035543017689785,0.10389660628737384
C1,uni,2240.0,0.478,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10554828451133781,0.000216433583975026,0.10518383735064193,0.1055543017689785,0.10589660628737384
C1,uni,2240.0,0.48,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1075482845113378,0.000216433583975026,0.10718383735064194,0.1075543017689785,0.10789660628737384
C1,uni,2240.0,0.482,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1095482845113378,0.000216433583975026,0.10918383735064194,0.1095543017689785,0.10989660628737384
C1,uni,2240.0,0.484,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1115482845113378,0.000216433583975026,0.11118383735064194,0.1115543017689785,0.11189660628737384
C1,uni,2240.0,0.486,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1135482845113378,0.000216433583975026,0.11318383735064194,0.1135543017689785,0.11389660628737384
C1,uni,2240.0,0.488,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1155482845113378,0.000216433583975026,0.11518383735064194,0.1155543017689785,0.11589660628737385
C1,uni,2240.0,0.49,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11754828451133781,0.000216433583975026,0.11718383735064195,0.1175543017689785,0.11789660628737385
C1,uni,2240.0,0.492,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11954828451133781,0.000216433583975026,0.11918383735064195,0.11955430176897851,0.11989660628737385
C1,uni,2240.0,0.466,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09296739387772325,0.0002694494399594313,0.09251674427888616,0.09297145494287838,0.09340045834625325
