campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A2,uni,1400,0.471668,0,0.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,0.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,0.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,0.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,0.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,0.5,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,0.5,0.32480239679078915,PASS,0.046794,0.099926,0.000145,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,0.5,0.3246958533617319,PASS,0.046794,0.099926,0.000252,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,0.5,0.3244341414133146,PASS,0.046794,0.099926,0.000513,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,0.5,0.3242666457663275,PASS,0.046794,0.099926,0.000681,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,1.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,1.0,0.32464259345271873,PASS,0.046794,0.099926,0.000305,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,1.0,0.32441864348956884,PASS,0.046794,0.099926,0.000529,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,1.0,0.323860266503865,PASS,0.046794,0.099926,0.001087,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,1.0,0.3235029052330145,PASS,0.046794,0.099926,0.001445,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,1.5,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,1.5,0.3244661576899328,PASS,0.046794,0.099926,0.000481,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,1.5,0.3241125814520832,PASS,0.046794,0.099926,0.000835,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,1.5,0.3232168318674385,PASS,0.046794,0.099926,0.001731,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,1.5,0.32264355213326584,PASS,0.046794,0.099926,0.002304,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,2.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,2.0,0.3242709682453503,PASS,0.046794,0.099926,0.000676,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,2.0,0.3237739875176032,PASS,0.046794,0.099926,0.001173,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,2.0,0.32249326706135556,PASS,0.046794,0.099926,0.002454,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,2.0,0.321673605969357,PASS,0.046794,0.099926,0.003274,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,2.5,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,1,2.5,0.32405458141533305,PASS,0.046794,0.099926,0.000893,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,2,2.5,0.3233986226083897,PASS,0.046794,0.099926,0.001549,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,3,2.5,0.3216770422672296,PASS,0.046794,0.099926,0.00327,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,4,2.5,0.3205752308488871,PASS,0.046794,0.099926,0.004372,0.012118700429429217,0.0,0.025021442772676133
A2,uni,1400,0.471668,0,3.0,0.3249474142358948,PASS,0.046794,0.099926,0.0,0.012118700429429217,0.0,0.025021442772676133
