campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-1_plus1,0,0.0,0.529687
B1,bi,BI-1_plus1,0,0.0,0.554297
B1,uni,BI-1_plus1,1,0.0,0.529687
B1,bi,BI-1_plus1,1,0.0,0.554297
B1,uni,BI-1_plus1,2,0.0,0.529687
B1,bi,BI-1_plus1,2,0.0,0.554297
B1,uni,BI-1_plus1,3,0.0,0.529687
B1,bi,BI-1_plus1,3,0.0,0.554297
B1,uni,BI-1_plus1,4,0.0,0.529687
B1,bi,BI-1_plus1,4,0.0,0.554297
B1,uni,BI-1_plus1,0,0.5,0.529687
B1,bi,BI-1_plus1,0,0.5,0.554297
B1,uni,BI-1_plus1,1,0.5,0.530078
B1,bi,BI-1_plus1,1,0.5,0.554688
B1,uni,BI-1_plus1,2,0.5,0.530469
B1,bi,BI-1_plus1,2,0.5,0.555078
B1,uni,BI-1_plus1,3,0.5,0.530859
B1,bi,BI-1_plus1,3,0.5,0.555078
B1,uni,BI-1_plus1,4,0.5,0.53125
B1,bi,BI-1_plus1,4,0.5,0.555859
B1,uni,BI-1_plus1,0,1.0,0.529687
B1,bi,BI-1_plus1,0,1.0,0.554297
B1,uni,BI-1_plus1,1,1.0,0.530469
B1,bi,BI-1_plus1,1,1.0,0.555078
B1,uni,BI-1_plus1,2,1.0,0.53125
B1,bi,BI-1_plus1,2,1.0,0.555859
B1,uni,BI-1_plus1,3,1.0,0.532031
B1,bi,BI-1_plus1,3,1.0,0.556641
B1,uni,BI-1_plus1,4,1.0,0.533203
B1,bi,BI-1_plus1,4,1.0,0.557813
B1,uni,BI-1_plus1,0,1.5,0.529687
B1,bi,BI-1_plus1,0,1.5,0.554297
B1,uni,BI-1_plus1,1,1.5,0.53125
B1,bi,BI-1_plus1,1,1.5,0.555859
B1,uni,BI-1_plus1,2,1.5,0.532422
B1,bi,BI-1_plus1,2,1.5,0.557031
B1,uni,BI-1_plus1,3,1.5,0.533203
B1,bi,BI-1_plus1,3,1.5,0.557813
B1,uni,BI-1_plus1,4,1.5,0.535547
B1,bi,BI-1_plus1,4,1.5,0.560156
B1,uni,BI-1_plus1,0,2.0,0.529687
B1,bi,BI-1_plus1,0,2.0,0.554297
B1,uni,BI-1_plus1,1,2.0,0.531641
B1,bi,BI-1_plus1,1,2.0,0.55625
B1,uni,BI-1_plus1,2,2.0,0.533594
B1,bi,BI-1_plus1,2,2.0,0.558203
B1,uni,BI-1_plus1,3,2.0,0.534766
B1,bi,BI-1_plus1,3,2.0,0.559375
B1,uni,BI-1_plus1,4,2.0,0.538281
B1,bi,BI-1_plus1,4,2.0,0.5625
B1,uni,BI-1_plus1,0,2.5,0.529687
B1,bi,BI-1_plus1,0,2.5,0.554297
B1,uni,BI-1_plus1,1,2.5,0.532422
B1,bi,BI-1_plus1,1,2.5,0.557031
B1,uni,BI-1_plus1,2,2.5,0.534766
B1,bi,BI-1_plus1,2,2.5,0.559375
B1,uni,BI-1_plus1,3,2.5,0.536328
B1,bi,BI-1_plus1,3,2.5,0.560937
B1,uni,BI-1_plus1,4,2.5,0.541016
B1,bi,BI-1_plus1,4,2.5,0.565625
B1,uni,BI-1_plus1,0,3.0,0.529687
B1,bi,BI-1_plus1,0,3.0,0.554297
B1,uni,BI-1_plus1,1,3.0,0.533203
B1,bi,BI-1_plus1,1,3.0,0.557813
B1,uni,BI-1_plus1,2,3.0,0.536328
B1,bi,BI-1_plus1,2,3.0,0.560937
B1,uni,BI-1_plus1,3,3.0,0.538281
B1,bi,BI-1_plus1,3,3.0,0.562891
B1,uni,BI-1_plus1,4,3.0,0.544141
B1,bi,BI-1_plus1,4,3.0,0.56875
