campaign,topology,placement,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1_focused,uni,uniform,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09503731508515781,0.0013823639985973987,0.09215150436794758,0.09575759058906017,0.09604498979858186
C1_focused,uni,uniform,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09703731508515781,0.0013823639985973987,0.09415150436794759,0.09775759058906017,0.09804498979858187
C1_focused,uni,uniform,2560.0,0.529356,2,1.5,0.5,1000,0.51,0.4790369283267418,0.5408865337015304,0.09899331508515788,0.0013823639985973987,0.09610750436794765,0.09971359058906024,0.10000098979858194
C1_focused,uni,uniform,2560.0,0.5314,2,1.5,0.5,1000,0.184,0.16120829439661352,0.20921030550998534,0.10103731508515781,0.0013823639985973987,0.09815150436794759,0.10175759058906017,0.10204498979858187
C1_focused,uni,uniform,2560.0,0.5334,2,1.5,0.5,1000,0.047,0.03552692265984565,0.06194024745942417,0.10303731508515782,0.0013823639985973987,0.10015150436794759,0.10375759058906017,0.10404498979858187
C1_focused,uni,uniform,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09397746211607175,0.0018544292848531256,0.09037316919994823,0.09435647461985311,0.09604498979858186
C1_focused,uni,uniform,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09597746211607175,0.0018544292848531256,0.09237316919994823,0.09635647461985311,0.09804498979858187
C1_focused,uni,uniform,2560.0,0.529356,4,1.5,0.5,1000,0.799,0.7730383163308918,0.8226731983144469,0.09793346211607182,0.0018544292848531256,0.0943291691999483,0.09831247461985318,0.10000098979858194
C1_focused,uni,uniform,2560.0,0.5314,4,1.5,0.5,1000,0.417,0.38681415683492065,0.44782110833042027,0.09997746211607177,0.0018544292848531258,0.09637316919994823,0.10035647461985311,0.10204498979858187
C1_focused,uni,uniform,2560.0,0.5334,4,1.5,0.5,1000,0.155,0.13389326100256138,0.1787472990220481,0.10197746211607177,0.0018544292848531258,0.09837316919994823,0.10235647461985312,0.10404498979858187
C1_focused,uni,uniform,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09375549873546651,0.0027735655026916873,0.08805691937027317,0.09446088719486645,0.09604498979858186
C1_focused,uni,uniform,2560.0,0.5274,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09575549873546652,0.0027735655026916873,0.09005691937027317,0.09646088719486645,0.09804498979858187
C1_focused,uni,uniform,2560.0,0.529356,2,2.5,0.5,1000,0.625,0.5945690386793249,0.6544742366740776,0.09771149873546657,0.0027735655026916877,0.09201291937027324,0.09841688719486652,0.10000098979858194
C1_focused,uni,uniform,2560.0,0.5314,2,2.5,0.5,1000,0.448,0.4174351187157854,0.47896287873719934,0.09975549873546652,0.0027735655026916873,0.09405691937027318,0.10046088719486646,0.10204498979858187
C1_focused,uni,uniform,2560.0,0.5334,2,2.5,0.5,1000,0.2,0.17637667806123578,0.2259194610905986,0.10175549873546652,0.0027735655026916873,0.09605691937027318,0.10246088719486646,0.10404498979858187
C1_focused,uni,uniform,2560.0,0.5254,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09148054684511846,0.0035523674605594233,0.08495737716353559,0.09215165349171764,0.09604498979858186
C1_focused,uni,uniform,2560.0,0.5274,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09348054684511847,0.003552367460559423,0.08695737716353559,0.09415165349171764,0.09804498979858187
C1_focused,uni,uniform,2560.0,0.529356,4,2.5,0.5,1000,0.891,0.8701670973953542,0.9088402679100885,0.09543654684511854,0.003552367460559423,0.08891337716353566,0.09610765349171771,0.10000098979858194
C1_focused,uni,uniform,2560.0,0.5314,4,2.5,0.5,1000,0.734,0.7057552662973483,0.760453745164221,0.09748054684511848,0.003552367460559423,0.0909573771635356,0.09815165349171764,0.10204498979858187
C1_focused,uni,uniform,2560.0,0.5334,4,2.5,0.5,1000,0.479,0.44817658770904456,0.5099841420315839,0.09948054684511846,0.0035523674605594233,0.0929573771635356,0.10015165349171765,0.10404498979858187
C1_focused,bi,uniform,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08470578974276549,0.0016296997658867762,0.08137781940323968,0.08503324915716994,0.08671048276611551
C1_focused,bi,uniform,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0867057897427655,0.0016296997658867762,0.08337781940323968,0.08703324915716994,0.08871048276611551
C1_focused,bi,uniform,2560.0,0.529356,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08866178974276556,0.0016296997658867762,0.08533381940323975,0.08898924915717,0.09066648276611558
C1_focused,bi,uniform,2560.0,0.5314,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09070578974276548,0.001629699765886776,0.08737781940323969,0.09103324915716994,0.09271048276611552
C1_focused,bi,uniform,2560.0,0.5334,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09270578974276548,0.001629699765886776,0.08937781940323969,0.09303324915716994,0.09471048276611552
C1_focused,bi,uniform,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08260992273209268,0.0019964002740353237,0.0786740400778652,0.08296651831521387,0.08533824991946302
C1_focused,bi,uniform,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08460992273209268,0.0019964002740353237,0.0806740400778652,0.08496651831521387,0.08733824991946303
C1_focused,bi,uniform,2560.0,0.529356,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08656592273209276,0.0019964002740353233,0.08263004007786527,0.08692251831521394,0.0892942499194631
C1_focused,bi,uniform,2560.0,0.5314,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08860992273209269,0.0019964002740353237,0.0846740400778652,0.08896651831521388,0.09133824991946303
C1_focused,bi,uniform,2560.0,0.5334,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09060992273209269,0.0019964002740353237,0.08667404007786521,0.09096651831521388,0.09333824991946303
C1_focused,bi,uniform,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08219777264476061,0.002953381888840829,0.0761743556256966,0.08300516793683965,0.08554000109416679
C1_focused,bi,uniform,2560.0,0.5274,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08419777264476062,0.002953381888840829,0.0781743556256966,0.08500516793683965,0.08754000109416679
C1_focused,bi,uniform,2560.0,0.529356,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08615377264476066,0.002953381888840829,0.08013035562569668,0.08696116793683972,0.08949600109416686
C1_focused,bi,uniform,2560.0,0.5314,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08819777264476061,0.002953381888840829,0.08217435562569661,0.08900516793683966,0.0915400010941668
C1_focused,bi,uniform,2560.0,0.5334,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09019777264476062,0.002953381888840829,0.08417435562569661,0.09100516793683966,0.0935400010941668
C1_focused,bi,uniform,2560.0,0.5254,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0779444851131835,0.003515460378614302,0.07089137696248649,0.07859455520499517,0.08253520623641819
C1_focused,bi,uniform,2560.0,0.5274,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0799444851131835,0.003515460378614302,0.07289137696248649,0.08059455520499517,0.08453520623641819
C1_focused,bi,uniform,2560.0,0.529356,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08190048511318358,0.003515460378614302,0.07484737696248656,0.08255055520499524,0.08649120623641826
C1_focused,bi,uniform,2560.0,0.5314,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0839444851131835,0.003515460378614302,0.07689137696248649,0.08459455520499518,0.0885352062364182
C1_focused,bi,uniform,2560.0,0.5334,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0859444851131835,0.003515460378614302,0.07889137696248649,0.08659455520499518,0.0905352062364182
