campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-1_plus1,0,0.0,0.453906
B1,bi,BI-1_plus1,0,0.0,0.472656
B1,uni,BI-1_plus1,1,0.0,0.453906
B1,bi,BI-1_plus1,1,0.0,0.472656
B1,uni,BI-1_plus1,2,0.0,0.453906
B1,bi,BI-1_plus1,2,0.0,0.472656
B1,uni,BI-1_plus1,3,0.0,0.453906
B1,bi,BI-1_plus1,3,0.0,0.472656
B1,uni,BI-1_plus1,4,0.0,0.453906
B1,bi,BI-1_plus1,4,0.0,0.472656
B1,uni,BI-1_plus1,0,0.5,0.453906
B1,bi,BI-1_plus1,0,0.5,0.472656
B1,uni,BI-1_plus1,1,0.5,0.454297
B1,bi,BI-1_plus1,1,0.5,0.473047
B1,uni,BI-1_plus1,2,0.5,0.454688
B1,bi,BI-1_plus1,2,0.5,0.473437
B1,uni,BI-1_plus1,3,0.5,0.455078
B1,bi,BI-1_plus1,3,0.5,0.473828
B1,uni,BI-1_plus1,4,0.5,0.455469
B1,bi,BI-1_plus1,4,0.5,0.474219
B1,uni,BI-1_plus1,0,1.0,0.453906
B1,bi,BI-1_plus1,0,1.0,0.472656
B1,uni,BI-1_plus1,1,1.0,0.454688
B1,bi,BI-1_plus1,1,1.0,0.473437
B1,uni,BI-1_plus1,2,1.0,0.455078
B1,bi,BI-1_plus1,2,1.0,0.473828
B1,uni,BI-1_plus1,3,1.0,0.456641
B1,bi,BI-1_plus1,3,1.0,0.475391
B1,uni,BI-1_plus1,4,1.0,0.457422
B1,bi,BI-1_plus1,4,1.0,0.476172
B1,uni,BI-1_plus1,0,1.5,0.453906
B1,bi,BI-1_plus1,0,1.5,0.472656
B1,uni,BI-1_plus1,1,1.5,0.455078
B1,bi,BI-1_plus1,1,1.5,0.473828
B1,uni,BI-1_plus1,2,1.5,0.455859
B1,bi,BI-1_plus1,2,1.5,0.474609
B1,uni,BI-1_plus1,3,1.5,0.458203
B1,bi,BI-1_plus1,3,1.5,0.476953
B1,uni,BI-1_plus1,4,1.5,0.459766
B1,bi,BI-1_plus1,4,1.5,0.478516
B1,uni,BI-1_plus1,0,2.0,0.453906
B1,bi,BI-1_plus1,0,2.0,0.472656
B1,uni,BI-1_plus1,1,2.0,0.455469
B1,bi,BI-1_plus1,1,2.0,0.474219
B1,uni,BI-1_plus1,2,2.0,0.457031
B1,bi,BI-1_plus1,2,2.0,0.475781
B1,uni,BI-1_plus1,3,2.0,0.460156
B1,bi,BI-1_plus1,3,2.0,0.478906
B1,uni,BI-1_plus1,4,2.0,0.462109
B1,bi,BI-1_plus1,4,2.0,0.480859
B1,uni,BI-1_plus1,0,2.5,0.453906
B1,bi,BI-1_plus1,0,2.5,0.472656
B1,uni,BI-1_plus1,1,2.5,0.45625
B1,bi,BI-1_plus1,1,2.5,0.475
B1,uni,BI-1_plus1,2,2.5,0.457813
B1,bi,BI-1_plus1,2,2.5,0.476562
B1,uni,BI-1_plus1,3,2.5,0.462109
B1,bi,BI-1_plus1,3,2.5,0.480859
B1,uni,BI-1_plus1,4,2.5,0.465234
B1,bi,BI-1_plus1,4,2.5,0.483984
B1,uni,BI-1_plus1,0,3.0,0.453906
B1,bi,BI-1_plus1,0,3.0,0.472656
B1,uni,BI-1_plus1,1,3.0,0.456641
B1,bi,BI-1_plus1,1,3.0,0.475391
B1,uni,BI-1_plus1,2,3.0,0.458984
B1,bi,BI-1_plus1,2,3.0,0.477734
B1,uni,BI-1_plus1,3,3.0,0.464453
B1,bi,BI-1_plus1,3,3.0,0.483203
B1,uni,BI-1_plus1,4,3.0,0.468359
B1,bi,BI-1_plus1,4,3.0,0.487109
