case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,delta_pressure_kpa,pipe_size,ranking
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09501522002837498,,,,,,,3,5,,,,,,,,,3.661530926070938,32A,2
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09125670336760075,,,,,,,3,6,,,,,,,,,7.420047586845168,25A,0
S1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.09682173905773464,,,,,,,3,7,,,,,,,,,1.8550118967112783,25A,6
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09488756496461856,,,,,,,3,0,,,,,,,,,3.7891859898273594,50A,3
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.0957756554309844,,,,,,,3,1,,,,,,,,,2.9010955234615166,50A,5
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09654533383516803,,,,,,,3,2,,,,,,,,,2.1314171192778897,50A,7
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09297216281447315,,,,,,,3,3,,,,,,,,,5.704588139972766,40A,1
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09502581454486334,,,,,,,3,4,,,,,,,,,3.6509364095825836,40A,4
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09386041162011649,,,,,,,3,5,,,,,,,,,4.816339334329428,32A,2
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.088518613275034,,,,,,,3,6,,,,,,,,,10.158137679411913,25A,0
S1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.09613721653459295,,,,,,,3,7,,,,,,,,,2.539534419852968,25A,6
