case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,delta_p_analytical,delta_p_simulation,analytical_error_pct
V1,tree,80A-65A,4,8,32,2560.0,1.0,1.5,,,,,0.5535356155066933,0.4535356155066933,True,0.114858,0.317865,0.013741,,3,,,,,,,,,,0.446464,0.4464643844933067,8.611959207666124e-05
V1,tree,80A-65A,4,8,32,2560.0,0.4,2.0,,,,,-0.05260923283751209,-0.1526092328375121,False,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.4526092328375121,5.1443385421992026e-05
V1,tree,80A-65A,4,8,32,2560.0,0.5,2.0,,,,,0.04739076716248791,-0.05260923283751209,False,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.4526092328375121,5.1443385421992026e-05
V1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,,,,,0.0787907671624879,-0.02120923283751211,False,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.4526092328375121,5.1443385421992026e-05
V1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,,,,,0.14739076716248786,0.04739076716248786,True,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.4526092328375121,5.1443385421992026e-05
V1,tree,80A-65A,4,8,32,2560.0,0.8,2.0,,,,,0.3473907671624881,0.24739076716248812,True,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.4526092328375119,5.144338538519795e-05
V1,tree,80A-65A,4,8,32,2560.0,1.0,2.0,,,,,0.547390767162488,0.44739076716248805,True,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.452609,0.452609232837512,5.1443385397462636e-05
V1,tree,80A-65A,4,8,32,2560.0,0.4,2.5,,,,,-0.05983797034063192,-0.15983797034063194,False,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.45983797034063195,6.4499606351934154e-06
V1,tree,80A-65A,4,8,32,2560.0,0.5,2.5,,,,,0.04016202965936807,-0.05983797034063194,False,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.45983797034063195,6.4499606351934154e-06
V1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.07156202965936806,-0.028437970340631946,False,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.4598379703406319,6.4499606472653095e-06
V1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,,,,,0.14016202965936791,0.04016202965936791,True,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.45983797034063206,6.4499606110496256e-06
V1,tree,80A-65A,4,8,32,2560.0,0.8,2.5,,,,,0.340162029659368,0.24016202965936798,True,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.45983797034063206,6.4499606110496256e-06
V1,tree,80A-65A,4,8,32,2560.0,1.0,2.5,,,,,0.540162029659368,0.440162029659368,True,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.459838,0.459837970340632,6.4499606231215205e-06
V1,tree,80A-65A,4,8,32,2560.0,0.4,3.0,,,,,-0.06841448366127048,-0.1684144836612705,False,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.4684144836612705,0.00010325497766378658
V1,tree,80A-65A,4,8,32,2560.0,0.5,3.0,,,,,0.03158551633872948,-0.06841448366127052,False,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.46841448366127053,0.00010325497767563741
V1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.06298551633872947,-0.03701448366127054,False,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.46841448366127053,0.00010325497767563741
V1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,,,,,0.13158551633872934,0.03158551633872933,True,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.46841448366127064,0.00010325497769933912
V1,tree,80A-65A,4,8,32,2560.0,0.8,3.0,,,,,0.33158551633872957,0.23158551633872956,True,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.4684144836612705,0.00010325497766378658
V1,tree,80A-65A,4,8,32,2560.0,1.0,3.0,,,,,0.5315855163387295,0.43158551633872955,True,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.468414,0.4684144836612705,0.00010325497766378658
