case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,terminal_B_mpa
G1,tree,80A-65A,4,8,32,2560.0,0.5314,0.0,,,,,0.09867675095444592,-0.0013232490455540868,False,0.114858,0.317865,0.0,,,,,,,,,,,,0.09867675095444592
G1,grid,80A-65A,4,8,32,2560.0,0.5314,0.0,,,,,0.380526276546055,0.280526276546055,True,0.020187,0.132551,0.0,,,,,,,,,,,,0.380526276546055
G1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,,,,,0.08493561550669315,-0.015064384493306854,False,0.114858,0.317865,0.013741,,,,,,,,,,,,0.09867675095444592
G1,grid,80A-65A,4,8,32,2560.0,0.5314,1.5,,,,,0.3797639192644235,0.27976391926442346,True,0.019639,0.131103,0.002821,,,,,,,,,,,,0.380526276546055
G1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.06298551633872947,-0.03701448366127054,False,0.114858,0.317865,0.035691,,,,,,,,,,,,0.09867675095444592
G1,grid,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.37861419767304444,0.2786141976730444,True,0.018837,0.128979,0.006996,,,,,,,,,,,,0.380526276546055
