case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,loss_bead_ratio_pct,terminal_B_mpa,improvement_pct
D1,tree,80A-65A,4,8,32,2560.0,0.5314,0.0,,,,,0.09867675095444592,-0.0013232490455540868,False,0.114858,0.317865,0.0,0.0013232490455540868,3,,,,,,,,,,0.0,0.09867675095444592,0.0
D1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09473804787807624,-0.005261952121923763,False,0.114858,0.317865,0.003939,0.005261952121923763,3,,,,,,,,,,0.9020708080607311,0.09867675095444592,4.157466999360823
D1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09019893832207265,-0.009801061677927353,False,0.114858,0.317865,0.008478,0.009801061677927353,3,,,,,,,,,,1.9215728919049748,0.09867675095444592,9.399015986309735
D1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,,,,,0.08493561550669315,-0.015064384493306854,False,0.114858,0.317865,0.013741,0.015064384493306854,3,,,,,,,,,,3.077737100036475,0.09867675095444592,16.17829619033011
D1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,,,,,0.0787907671624879,-0.02120923283751211,False,0.114858,0.317865,0.019886,0.02120923283751211,3,,,,,,,,,,4.393635515415817,0.09867675095444592,25.238977240756828
D1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.07156202965936806,-0.028437970340631946,False,0.114858,0.317865,0.027115,0.028437970340631946,3,,,,,,,,,,5.896642241160328,0.09867675095444592,37.88981590396845
D1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.06298551633872947,-0.03701448366127054,False,0.114858,0.317865,0.035691,0.03701448366127054,3,,,,,,,,,,7.619533819925518,0.09867675095444592,56.66578078644741
D1,tree,80A-65A,4,8,32,2560.0,0.55,0.0,,,,,0.11727675095444597,0.01727675095444596,True,0.114858,0.317865,0.0,0.0,3,,,,,,,,,,0.0,0.11727675095444597,0.0
D1,tree,80A-65A,4,8,32,2560.0,0.55,0.5,,,,,0.1133380478780763,0.013338047878076298,True,0.114858,0.317865,0.003939,0.0,3,,,,,,,,,,0.9020708080607311,0.11727675095444597,3.4751816800362856
D1,tree,80A-65A,4,8,32,2560.0,0.55,1.0,,,,,0.10879893832207271,0.008798938322072708,True,0.114858,0.317865,0.008478,0.0,3,,,,,,,,,,1.9215728919049748,0.11727675095444597,7.792183235535586
D1,tree,80A-65A,4,8,32,2560.0,0.55,1.5,,,,,0.10353561550669318,0.0035356155066931794,True,0.114858,0.317865,0.013741,0.0,3,,,,,,,,,,3.077737100036475,0.11727675095444597,13.271892363323486
D1,tree,80A-65A,4,8,32,2560.0,0.55,2.0,,,,,0.09739076716248796,-0.002609232837512049,False,0.114858,0.317865,0.019886,0.002609232837512049,3,,,,,,,,,,4.393635515415817,0.11727675095444597,20.418756696699994
