scenario,placement,topology,defect_count,bead_mm,fail_rate,fail_CI95_low,fail_CI95_high,P50_terminal,mean_terminal,mc_iterations
7h_2.1m,worst,uni,4,2.5,1.0,0.9961731014136095,1.0,0.08857002620631255,0.08857895697544624,1000
7h_2.1m,worst,bi,4,2.5,1.0,0.9961731014136095,1.0,0.08155382229908797,0.08156275306822167,1000
7h_2.1m,uniform,uni,4,2.5,0.929,0.9113859810064908,0.9433305400063863,0.09563067994993513,0.09501699792347111,1000
7h_2.1m,uniform,bi,4,2.5,1.0,0.9961731014136095,1.0,0.08437306064892805,0.08381342994712776,1000
7h_2.1m,downstream,uni,4,2.5,1.0,0.9961731014136095,1.0,0.0844537789630759,0.08454886684098037,1000
7h_2.1m,downstream,bi,4,2.5,1.0,0.9961731014136095,1.0,0.07743757505585133,0.07753266293375578,1000
7h_2.1m,upstream,uni,4,2.5,1.0,0.9961731014136095,1.0,0.08737434801040113,0.08675281229784565,1000
7h_2.1m,upstream,bi,4,2.5,1.0,0.9961731014136095,1.0,0.08035814410317656,0.07973660839062109,1000
