campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,terminal_at_critical_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
B1,bi,2560.0,4,0.0,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,0.5,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,1,0.5,0.559766,0.10025931358172442,0.108483,0.3505389964309059,0.000485,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,0.5,0.560156,0.10027869392225393,0.108483,0.3505389964309059,0.000856,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,0.5,0.560156,0.10000594274386744,0.108483,0.3505389964309059,0.001129,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,0.5,0.560937,0.10011721015591925,0.108483,0.3505389964309059,0.001799,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,1.0,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,1,1.0,0.560156,0.10011560839989854,0.108483,0.3505389964309059,0.001019,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,1.0,0.560937,0.10011651719496774,0.108483,0.3505389964309059,0.0018,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,1.0,0.561719,0.1003244552893043,0.108483,0.3505389964309059,0.002373,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,1.0,0.562891,0.10006688520590241,0.108483,0.3505389964309059,0.003802,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,1.5,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,1,1.5,0.560937,0.10030691482082028,0.108483,0.3505389964309059,0.001609,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,1.5,0.562109,0.10024677306315762,0.108483,0.3505389964309059,0.002841,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,1.5,0.562891,0.10012286789426252,0.108483,0.3505389964309059,0.003746,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,1.5,0.565234,0.10017349895757217,0.108483,0.3505389964309059,0.006039,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,2.0,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
