campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,head_position,terminal_mpa,baseline_terminal_mpa,delta_mpa
E1,uni,2560.0,0.549687,1,1.0,1,0.09898086543236502,0.10000008659798905,-0.001019221165624029
E1,uni,2560.0,0.549687,1,1.0,2,0.09921974539305818,0.10000008659798905,-0.0007803412049308678
E1,uni,2560.0,0.549687,1,1.0,3,0.09942677469232554,0.10000008659798905,-0.0005733119056635094
E1,uni,2560.0,0.549687,1,1.0,4,0.09857064151458723,0.10000008659798905,-0.0014294450834018146
E1,uni,2560.0,0.549687,1,1.0,5,0.09908524174461188,0.10000008659798905,-0.0009148448533771725
E1,uni,2560.0,0.549687,1,1.0,6,0.09886010728992338,0.10000008659798905,-0.0011399793080656695
E1,uni,2560.0,0.549687,1,1.0,7,0.0979035513089409,0.10000008659798905,-0.002096535289048143
E1,uni,2560.0,0.549687,1,1.0,8,0.09947595277572702,0.10000008659798905,-0.0005241338222620323
E1,uni,2560.0,0.549687,1,1.5,1,0.0983909218532867,0.10000008659798905,-0.0016091647447023516
E1,uni,2560.0,0.549687,1,1.5,2,0.09876806984032634,0.10000008659798905,-0.0012320167576627128
E1,uni,2560.0,0.549687,1,1.5,3,0.099094931429094,0.10000008659798905,-0.0009051551688950554
E1,uni,2560.0,0.549687,1,1.5,4,0.09770696766129862,0.10000008659798905,-0.0022931189366904303
E1,uni,2560.0,0.549687,1,1.5,5,0.09853249047850716,0.10000008659798905,-0.0014675961194818843
E1,uni,2560.0,0.549687,1,1.5,6,0.0981482954486081,0.10000008659798905,-0.0018517911493809436
E1,uni,2560.0,0.549687,1,1.5,7,0.09649425254123754,0.10000008659798905,-0.0035058340567515056
E1,uni,2560.0,0.549687,1,1.5,8,0.09912362808380118,0.10000008659798905,-0.0008764585141878695
E1,uni,2560.0,0.549687,1,2.0,1,0.09773827208593157,0.10000008659798905,-0.0022618145120574806
E1,uni,2560.0,0.549687,1,2.0,2,0.0982683848621951,0.10000008659798905,-0.0017317017357939557
E1,uni,2560.0,0.549687,1,2.0,3,0.09872781593495673,0.10000008659798905,-0.0012722706630323155
E1,uni,2560.0,0.549687,1,2.0,4,0.09672144222999497,0.10000008659798905,-0.003278644367994077
E1,uni,2560.0,0.549687,1,2.0,5,0.09790175420247284,0.10000008659798905,-0.0020983323955162114
E1,uni,2560.0,0.549687,1,2.0,6,0.09731619158702219,0.10000008659798905,-0.002683895010966858
E1,uni,2560.0,0.549687,1,2.0,7,0.09475262651271134,0.10000008659798905,-0.005247460085277711
E1,uni,2560.0,0.549687,1,2.0,8,0.09868822157666962,0.10000008659798905,-0.0013118650213194277
E1,bi,2560.0,0.549687,1,1.0,1,0.08964635839989867,0.0906655795655227,-0.001019221165624029
E1,bi,2560.0,0.549687,1,1.0,2,0.08988523836059183,0.0906655795655227,-0.0007803412049308678
E1,bi,2560.0,0.549687,1,1.0,3,0.09009226765985918,0.0906655795655227,-0.0005733119056635094
E1,bi,2560.0,0.549687,1,1.0,4,0.08923613448212085,0.0906655795655227,-0.0014294450834018424
E1,bi,2560.0,0.549687,1,1.0,5,0.08975073471214552,0.0906655795655227,-0.0009148448533771725
E1,bi,2560.0,0.549687,1,1.0,6,0.08952560025745702,0.0906655795655227,-0.0011399793080656695
E1,bi,2560.0,0.549687,1,1.0,7,0.08856904427647455,0.0906655795655227,-0.002096535289048143
E1,bi,2560.0,0.549687,1,1.0,8,0.09014144574326066,0.0906655795655227,-0.0005241338222620323
E1,bi,2560.0,0.549687,1,1.5,1,0.08905641482082034,0.0906655795655227,-0.0016091647447023516
E1,bi,2560.0,0.549687,1,1.5,2,0.08943356280785998,0.0906655795655227,-0.0012320167576627128
E1,bi,2560.0,0.549687,1,1.5,3,0.08976042439662764,0.0906655795655227,-0.0009051551688950554
E1,bi,2560.0,0.549687,1,1.5,4,0.08837246062883226,0.0906655795655227,-0.0022931189366904303
E1,bi,2560.0,0.549687,1,1.5,5,0.08919798344604081,0.0906655795655227,-0.0014675961194818843
E1,bi,2560.0,0.549687,1,1.5,6,0.08881378841614175,0.0906655795655227,-0.0018517911493809436
E1,bi,2560.0,0.549687,1,1.5,7,0.08715974550877119,0.0906655795655227,-0.0035058340567515056
E1,bi,2560.0,0.549687,1,1.5,8,0.08978912105133482,0.0906655795655227,-0.0008764585141878695
E1,bi,2560.0,0.549687,1,2.0,1,0.08840376505346521,0.0906655795655227,-0.0022618145120574806
E1,bi,2560.0,0.549687,1,2.0,2,0.08893387782972874,0.0906655795655227,-0.0017317017357939557
E1,bi,2560.0,0.549687,1,2.0,3,0.08939330890249038,0.0906655795655227,-0.0012722706630323155
E1,bi,2560.0,0.549687,1,2.0,4,0.08738693519752862,0.0906655795655227,-0.003278644367994077
E1,bi,2560.0,0.549687,1,2.0,5,0.08856724717000648,0.0906655795655227,-0.0020983323955162114
E1,bi,2560.0,0.549687,1,2.0,6,0.08798168455455584,0.0906655795655227,-0.002683895010966858
E1,bi,2560.0,0.549687,1,2.0,7,0.08541811948024498,0.0906655795655227,-0.005247460085277711
E1,bi,2560.0,0.549687,1,2.0,8,0.08935371454420327,0.0906655795655227,-0.0013118650213194277
