campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa
B2,uni,2240,0,0.0,0.445312
B2,uni,2240,2,0.0,0.445312
B2,uni,2240,4,0.0,0.445312
B2,uni,2240,0,0.5,0.445312
B2,uni,2240,2,0.5,0.446094
B2,uni,2240,4,0.5,0.446875
B2,uni,2240,0,1.0,0.445312
B2,uni,2240,2,1.0,0.446875
B2,uni,2240,4,1.0,0.448047
B2,uni,2240,0,1.5,0.445312
B2,uni,2240,2,1.5,0.447656
B2,uni,2240,4,1.5,0.45
B2,uni,2240,0,2.0,0.445312
B2,uni,2240,2,2.0,0.448438
B2,uni,2240,4,2.0,0.451953
B2,uni,2240,0,2.5,0.445312
B2,uni,2240,2,2.5,0.449219
B2,uni,2240,4,2.5,0.453906
B2,uni,2240,0,3.0,0.445312
B2,uni,2240,2,3.0,0.450391
B2,uni,2240,4,3.0,0.456641
B2,uni,2320,0,0.0,0.470313
B2,uni,2320,2,0.0,0.470313
B2,uni,2320,4,0.0,0.470313
B2,uni,2320,0,0.5,0.470313
B2,uni,2320,2,0.5,0.470703
B2,uni,2320,4,0.5,0.471484
B2,uni,2320,0,1.0,0.470313
B2,uni,2320,2,1.0,0.471484
B2,uni,2320,4,1.0,0.473437
B2,uni,2320,0,1.5,0.470313
B2,uni,2320,2,1.5,0.472656
B2,uni,2320,4,1.5,0.475
B2,uni,2320,0,2.0,0.470313
B2,uni,2320,2,2.0,0.473437
B2,uni,2320,4,2.0,0.477344
B2,uni,2320,0,2.5,0.470313
B2,uni,2320,2,2.5,0.474609
B2,uni,2320,4,2.5,0.479687
B2,uni,2320,0,3.0,0.470313
B2,uni,2320,2,3.0,0.475781
B2,uni,2320,4,3.0,0.482031
B2,uni,2400,0,0.0,0.495703
B2,uni,2400,2,0.0,0.495703
B2,uni,2400,4,0.0,0.495703
B2,uni,2400,0,0.5,0.495703
B2,uni,2400,2,0.5,0.496484
B2,uni,2400,4,0.5,0.497656
B2,uni,2400,0,1.0,0.495703
B2,uni,2400,2,1.0,0.497656
B2,uni,2400,4,1.0,0.499219
B2,uni,2400,0,1.5,0.495703
B2,uni,2400,2,1.5,0.498437
B2,uni,2400,4,1.5,0.501172
B2,uni,2400,0,2.0,0.495703
B2,uni,2400,2,2.0,0.499219
B2,uni,2400,4,2.0,0.503516
B2,uni,2400,0,2.5,0.495703
B2,uni,2400,2,2.5,0.500391
B2,uni,2400,4,2.5,0.505859
B2,uni,2400,0,3.0,0.495703
B2,uni,2400,2,3.0,0.501953
B2,uni,2400,4,3.0,0.508594
B2,uni,2480,0,0.0,0.522266
B2,uni,2480,2,0.0,0.522266
B2,uni,2480,4,0.0,0.522266
B2,uni,2480,0,0.5,0.522266
B2,uni,2480,2,0.5,0.523438
B2,uni,2480,4,0.5,0.524219
B2,uni,2480,0,1.0,0.522266
B2,uni,2480,2,1.0,0.524219
B2,uni,2480,4,1.0,0.526172
B2,uni,2480,0,1.5,0.522266
B2,uni,2480,2,1.5,0.525
B2,uni,2480,4,1.5,0.528125
B2,uni,2480,0,2.0,0.522266
B2,uni,2480,2,2.0,0.526172
B2,uni,2480,4,2.0,0.530469
B2,uni,2480,0,2.5,0.522266
B2,uni,2480,2,2.5,0.527344
B2,uni,2480,4,2.5,0.533203
B2,uni,2480,0,3.0,0.522266
B2,uni,2480,2,3.0,0.528906
B2,uni,2480,4,3.0,0.535938
B2,uni,2560,0,0.0,0.55
B2,uni,2560,2,0.0,0.55
B2,uni,2560,4,0.0,0.55
B2,uni,2560,0,0.5,0.55
B2,uni,2560,2,0.5,0.550781
B2,uni,2560,4,0.5,0.551563
B2,uni,2560,0,1.0,0.55
B2,uni,2560,2,1.0,0.551563
B2,uni,2560,4,1.0,0.553516
B2,uni,2560,0,1.5,0.55
B2,uni,2560,2,1.5,0.552734
B2,uni,2560,4,1.5,0.555859
B2,uni,2560,0,2.0,0.55
B2,uni,2560,2,2.0,0.553906
B2,uni,2560,4,2.0,0.558594
B2,uni,2560,0,2.5,0.55
B2,uni,2560,2,2.5,0.555078
B2,uni,2560,4,2.5,0.561328
B2,uni,2560,0,3.0,0.55
B2,uni,2560,2,3.0,0.556641
B2,uni,2560,4,3.0,0.564453
B2,uni,2640,0,0.0,0.578125
B2,uni,2640,2,0.0,0.578125
B2,uni,2640,4,0.0,0.578125
B2,uni,2640,0,0.5,0.578125
B2,uni,2640,2,0.5,0.578906
B2,uni,2640,4,0.5,0.580078
B2,uni,2640,0,1.0,0.578125
B2,uni,2640,2,1.0,0.580078
B2,uni,2640,4,1.0,0.582031
B2,uni,2640,0,1.5,0.578125
B2,uni,2640,2,1.5,0.58125
B2,uni,2640,4,1.5,0.584766
B2,uni,2640,0,2.0,0.578125
B2,uni,2640,2,2.0,0.582422
B2,uni,2640,4,2.0,0.587109
B2,uni,2640,0,2.5,0.578125
B2,uni,2640,2,2.5,0.583594
B2,uni,2640,4,2.5,0.590234
B2,uni,2640,0,3.0,0.578125
B2,uni,2640,2,3.0,0.585156
B2,uni,2640,4,3.0,0.59375
B2,uni,2720,0,0.0,0.607422
B2,uni,2720,2,0.0,0.607422
B2,uni,2720,4,0.0,0.607422
B2,uni,2720,0,0.5,0.607422
B2,uni,2720,2,0.5,0.608203
B2,uni,2720,4,0.5,0.609375
B2,uni,2720,0,1.0,0.607422
B2,uni,2720,2,1.0,0.609375
B2,uni,2720,4,1.0,0.611719
B2,uni,2720,0,1.5,0.607422
B2,uni,2720,2,1.5,0.610547
B2,uni,2720,4,1.5,0.614063
B2,uni,2720,0,2.0,0.607422
B2,uni,2720,2,2.0,0.611719
B2,uni,2720,4,2.0,0.616797
B2,uni,2720,0,2.5,0.607422
B2,uni,2720,2,2.5,0.613281
B2,uni,2720,4,2.5,0.620313
B2,uni,2720,0,3.0,0.607422
B2,uni,2720,2,3.0,0.614844
B2,uni,2720,4,3.0,0.623828
B2,uni,2800,0,0.0,0.6375
B2,uni,2800,2,0.0,0.6375
B2,uni,2800,4,0.0,0.6375
B2,uni,2800,0,0.5,0.6375
B2,uni,2800,2,0.5,0.638281
B2,uni,2800,4,0.5,0.639453
B2,uni,2800,0,1.0,0.6375
B2,uni,2800,2,1.0,0.639453
