campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
D1,uni,2360,0.549687,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16609139680897,0.00024024403884472746,0.16568685581203693,0.16609807604170196,0.16647803842324985
D1,uni,2360,0.549687,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16541952992198858,0.0003037258292504934,0.16490868722686292,0.16542365385918498,0.1659071593594153
D1,uni,2360,0.549687,3,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1649247330701908,0.00033437927500960373,0.16436117240385656,0.16492961234020007,0.16546908627734097
D1,uni,2360,0.549687,4,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16370099556497725,0.00048193169632471794,0.1628948664011198,0.16371210661625993,0.16446956416043496
D1,uni,2360,0.549687,1,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1660722668193212,0.0004757547561726278,0.1652436060834689,0.16610121209793866,0.16683114711559027
D1,uni,2360,0.549687,2,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16538050109887678,0.0006030568893734743,0.16434195126111004,0.16540397337524396,0.16632523384441514
D1,uni,2360,0.549687,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16486954924995484,0.0006644666692516784,0.16372128352425389,0.1648949505792566,0.16591197261202806
D1,uni,2360,0.549687,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1636094610359109,0.0009599083343516539,0.16197194283020122,0.16365628665954693,0.1650989703944324
D1,uni,2360,0.549687,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16602311709476428,0.0006922810678398659,0.16476148846062194,0.16610434611148234,0.1669611266319793
D1,uni,2360,0.549687,2,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16528978022371796,0.0008792507080846945,0.16372885666518888,0.16535954427753888,0.1666031767118387
D1,uni,2360,0.549687,3,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16474612758514354,0.000969942349412808,0.1630159394342431,0.16481905224282026,0.16619537868375028
D1,uni,2360,0.549687,4,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16340219005217907,0.0014102584899095627,0.1609191378634326,0.1635227709598243,0.16550675212795313
D1,uni,2360,0.549687,1,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.16558953357041628,0.0002655580684929657,0.16514219954795026,0.16559704037329923,0.16601661135203824
D1,uni,2360,0.549687,2,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.16453279148836217,0.0003357075147352492,0.16396786273337227,0.16453753444885433,0.16507158741869585
D1,uni,2360,0.549687,3,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.16375510314893052,0.00036958073981408624,0.16313204583482058,0.16376074629177084,0.16435656178917654
