campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,terminal_mpa,pass_fail
C2,uni,2560.0,0.544,0,0.0,0.0,0.09431308659798905,FAIL
C2,uni,2560.0,0.546,0,0.0,0.0,0.09631308659798905,FAIL
C2,uni,2560.0,0.548,0,0.0,0.0,0.09831308659798906,FAIL
C2,uni,2560.0,0.55,0,0.0,0.0,0.10031308659798906,PASS
C2,uni,2560.0,0.552,0,0.0,0.0,0.10231308659798906,PASS
C2,uni,2560.0,0.554,0,0.0,0.0,0.10431308659798906,PASS
C2,uni,2560.0,0.556,0,0.0,0.0,0.10631308659798906,PASS
C2,uni,2560.0,0.558,0,0.0,0.0,0.10831308659798906,PASS
C2,uni,2560.0,0.56,0,0.0,0.0,0.11031308659798907,PASS
C2,uni,2560.0,0.562,0,0.0,0.0,0.11231308659798907,PASS
C2,uni,2560.0,0.564,0,0.0,0.0,0.11431308659798896,PASS
C2,uni,2560.0,0.566,0,0.0,0.0,0.11631308659798896,PASS
C2,uni,2560.0,0.568,0,0.0,0.0,0.11831308659798896,PASS
C2,uni,2560.0,0.57,0,0.0,0.0,0.12031308659798896,PASS
C2,bi,2560.0,0.544,0,0.0,0.0,0.0849785795655227,FAIL
C2,bi,2560.0,0.546,0,0.0,0.0,0.0869785795655227,FAIL
C2,bi,2560.0,0.548,0,0.0,0.0,0.0889785795655227,FAIL
C2,bi,2560.0,0.55,0,0.0,0.0,0.0909785795655227,FAIL
C2,bi,2560.0,0.552,0,0.0,0.0,0.0929785795655227,FAIL
C2,bi,2560.0,0.554,0,0.0,0.0,0.0949785795655227,FAIL
C2,bi,2560.0,0.556,0,0.0,0.0,0.09697857956552271,FAIL
C2,bi,2560.0,0.558,0,0.0,0.0,0.09897857956552271,FAIL
C2,bi,2560.0,0.56,0,0.0,0.0,0.10097857956552271,PASS
C2,bi,2560.0,0.562,0,0.0,0.0,0.10297857956552271,PASS
C2,bi,2560.0,0.564,0,0.0,0.0,0.1049785795655226,PASS
C2,bi,2560.0,0.566,0,0.0,0.0,0.1069785795655226,PASS
C2,bi,2560.0,0.568,0,0.0,0.0,0.10897857956552261,PASS
C2,bi,2560.0,0.57,0,0.0,0.0,0.11097857956552261,PASS
